attack,level,dt_level,mal_nodes,method,seed,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal
label_flip,L1,D0,0,weighted_full,0,0.8112328052520752,0.7750471819002998,0.8123367428779602,0.7727403892433653,0.0
label_flip,L1,D0,0,weighted_full,1,0.7916569709777832,0.7452773284670187,0.792833149433136,0.744058277481058,0.0
label_flip,L1,D0,0,weighted_full,2,0.8000466227531433,0.7619285397243212,0.803658127784729,0.7632747667597135,0.0
label_flip,L1,D0,0,weighted_full,3,0.7979491949081421,0.7557261396480038,0.8015117645263672,0.7583467445648563,0.0
label_flip,L1,D0,0,weighted_full,4,0.801677942276001,0.7636080046361489,0.802538275718689,0.7620572207994547,0.0
label_flip,L1,D0,0,weighted_r4only,0,0.8109997510910034,0.7746187057996119,0.8121500611305237,0.7724284558497276,0.0
label_flip,L1,D0,0,weighted_r4only,1,0.7914239168167114,0.7449303644272167,0.7929264903068542,0.7440962659685435,0.0
label_flip,L1,D0,0,weighted_r4only,2,0.8000466227531433,0.7619285397243212,0.803658127784729,0.763186688277302,0.0
label_flip,L1,D0,0,weighted_r4only,3,0.7979491949081421,0.7557261396480038,0.8014184832572937,0.758256345348948,0.0
label_flip,L1,D0,0,weighted_r4only,4,0.801677942276001,0.7636080046361489,0.8026316165924072,0.7621917275246759,0.0
label_flip,L1,D0,0,weighted_r2only,0,0.8107666969299316,0.7742903828289822,0.8123367428779602,0.7725685845537483,0.0
label_flip,L1,D0,0,weighted_r2only,1,0.7911908626556396,0.7445831975883759,0.7929264903068542,0.7440962659685435,0.0
label_flip,L1,D0,0,weighted_r2only,2,0.8000466227531433,0.7618227008894212,0.803658127784729,0.7630542981855358,0.0
label_flip,L1,D0,0,weighted_r2only,3,0.7979491949081421,0.7557261396480038,0.8014184832572937,0.7581169232722615,0.0
label_flip,L1,D0,0,weighted_r2only,4,0.8019109964370728,0.7638331173259562,0.8023516535758972,0.7617881174788532,0.0
label_flip,L1,D0,0,weighted_nogate,0,0.8109997510910034,0.7747192617625112,0.8121500611305237,0.7724714319969972,0.0
label_flip,L1,D0,0,weighted_nogate,1,0.7914239168167114,0.7449303644272167,0.7929264903068542,0.7441993120202678,0.0
label_flip,L1,D0,0,weighted_nogate,2,0.8005127310752869,0.7625888604144571,0.8035647869110107,0.7632282498295958,0.0
label_flip,L1,D0,0,weighted_nogate,3,0.7977161407470703,0.7553870710290427,0.8014184832572937,0.758256345348948,0.0
