attack,level,dt_level,mal_nodes,method,polluted_acc_m,polluted_acc_s,polluted_f1_m,polluted_f1_s,clean_acc_m,clean_acc_s,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,count
label_flip,L1,D0,0,weighted_full,0.8005127072334289,0.006348088988790884,0.7603174388751585,0.009774187927828883,0.8025756120681763,0.006204840993170722,0.7600954797696896,0.009317724628828286,0.0,0.0,5
label_flip,L1,D0,0,weighted_r4only,0.8004194855690002,0.006335413981820146,0.7601623508470605,0.009753681682272768,0.8025569558143616,0.006120258314835477,0.7600318965938394,0.009223764602912356,0.0,0.0,5
label_flip,L1,D0,0,weighted_r2only,0.8003728747367859,0.006335414244933691,0.7600511076561479,0.009779168546564182,0.8025382995605469,0.006179631204242297,0.7599248378917884,0.009240583386370934,0.0,0.0,5
label_flip,L1,D0,0,weighted_nogate,0.8004194855690002,0.00634398130553897,0.7601805976352846,0.00982151076466928,0.802482295036316,0.006117183283686411,0.7599886913349325,0.009185390681747316,0.0,0.0,5
label_flip,L1,D0,3,weighted_full,0.6992775559425354,0.009170991232406596,0.650579757701409,0.012279438366037333,0.7979843616485596,0.010458556864457052,0.7522795821583209,0.016723822452940344,0.0434217416066502,0.0255087010409174,5
label_flip,L1,D0,3,weighted_r4only,0.6922395706176758,0.010461244305440974,0.6367706801541695,0.01365265550439669,0.7900522708892822,0.013100181139214058,0.7379407544544225,0.019520719863735308,0.07930635991742374,0.0344285842161,5
label_flip,L1,D0,3,weighted_r2only,0.5041715264320373,0.09095583664957424,0.3699260964378455,0.09153190778587002,0.5095558285713195,0.1353342251447202,0.3707546923138634,0.10672693522375626,0.2999409089428352,0.0006639605419690201,5
label_flip,L1,D0,3,weighted_nogate,0.6985318064689636,0.008980694973089341,0.6486256552986146,0.012955174555711938,0.7977790594100952,0.010503028497082238,0.7512940771034947,0.017514895760064163,0.050612940051550204,0.029153029554323126,5
label_flip,L1,D0,5,weighted_full,0.637240731716156,0.00868685070856632,0.5830021725328024,0.010757692903537237,0.7899216413497925,0.014982353013177125,0.7382338845163778,0.021950195484544337,0.06717143147988366,0.01971499995856721,5
label_flip,L1,D0,5,weighted_r4only,0.5536238431930542,0.0718072740869278,0.4687049332725848,0.08963523615490908,0.6209966599941253,0.1548881241567446,0.5390142976877801,0.14957666547106097,0.22949188243821667,0.03415855421292083,5
label_flip,L1,D0,5,weighted_r2only,0.48394314050674436,0.06926783779708945,0.3246757588414456,0.03093547049143971,0.47004480957984923,0.14674993635503542,0.31317212382990506,0.06587902237425647,0.5001756207251609,0.0009018469553947344,5
label_flip,L1,D0,5,weighted_nogate,0.6325798273086548,0.009699407337378447,0.580220035378394,0.006085290807562802,0.7831280589103699,0.020760599793438153,0.732792198529859,0.019741481236920808,0.0763180136550244,0.012475084335068583,5
dt_logit_scale,,D0,0,weighted_full,0.8005127072334289,0.006348088988790884,0.7603174388751585,0.009774187927828883,0.8025756120681763,0.006204840993170722,0.7600954797696896,0.009317724628828286,0.0,0.0,5
dt_logit_scale,,D0,0,weighted_r4only,0.8004194855690002,0.006335413981820146,0.7601623508470605,0.009753681682272768,0.8025569558143616,0.006120258314835477,0.7600318965938394,0.009223764602912356,0.0,0.0,5
dt_logit_scale,,D0,0,weighted_r2only,0.8003728747367859,0.006335414244933691,0.7600511076561479,0.009779168546564182,0.8025382995605469,0.006179631204242297,0.7599248378917884,0.009240583386370934,0.0,0.0,5
dt_logit_scale,,D0,0,weighted_nogate,0.8004194855690002,0.00634398130553897,0.7601805976352846,0.00982151076466928,0.802482295036316,0.006117183283686411,0.7599886913349325,0.009185390681747316,0.0,0.0,5
dt_logit_scale,,D0,3,weighted_full,0.8065252900123596,0.004873720797457057,0.7771623729441786,0.01609971637746166,0.8101343989372254,0.0051176011165777295,0.7791409482029609,0.017461549438147664,0.08397472792821362,0.02868722428408701,5
dt_logit_scale,,D0,3,weighted_r4only,0.802843165397644,0.0077250422258736936,0.7689807021836932,0.012365400370732306,0.8062150239944458,0.008515939766112198,0.77069816524025,0.014464094080340967,0.12680968707114734,0.010550421329478704,5
dt_logit_scale,,D0,3,weighted_r2only,0.7591703534126282,0.025310381018021463,0.6829325046851982,0.04520977172365437,0.7632699012756348,0.02391642505729985,0.6844307352641958,0.043777542762533365,0.30006708170858254,3.1470251272378855e-05,5
dt_logit_scale,,D0,3,weighted_nogate,0.8057795286178588,0.0047660012946873186,0.7753240378696932,0.01583434748314763,0.8099477767944336,0.005266206588100434,0.7780837595547837,0.017216259326680545,0.08935184113968926,0.027228786710062926,5
dt_logit_scale,,D0,5,weighted_full,0.8061990141868591,0.005376436828147518,0.7774816265766014,0.01762677017675508,0.810601007938385,0.003916534345980278,0.7803868082617967,0.017526574737793364,0.09299859051275682,0.026342474085097642,5
dt_logit_scale,,D0,5,weighted_r4only,0.780284309387207,0.015724917942136995,0.7234110038242353,0.02754363518296522,0.7854796886444092,0.01344294956702727,0.7271824693298008,0.024245908059572004,0.11960226709615103,0.01563614822315388,5
dt_logit_scale,,D0,5,weighted_r2only,0.7006292223930359,0.05057701167445287,0.5508966018953548,0.11781622399251945,0.7086786389350891,0.049607829363581706,0.5585350496127749,0.11771140667151582,0.499970144088514,4.902824104669146e-05,5
dt_logit_scale,,D0,5,weighted_nogate,0.8051270246505737,0.007891152783241265,0.7776938756450071,0.014058211882849956,0.810321044921875,0.004981690969328647,0.7817047063320819,0.014907712418763997,0.09181346573529055,0.018996049917730563,5
