attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,polluted_acc_m,polluted_f1_m,clean_acc_m,clean_f1_m,w_mal_m,w_mal_round_mean_m,S_DT_m,S_DT_ratio_m,valid_ratio_m,num_masked_m,num_valid_m,fallback_rate_m,benign_pass_rate_m,malicious_pass_rate_m,benign_admitted_weight_mass_m,polluted_acc_s,polluted_f1_s,clean_acc_s,clean_f1_s,w_mal_s,w_mal_round_mean_s,S_DT_s,S_DT_ratio_s,valid_ratio_s,num_masked_s,num_valid_s,fallback_rate_s,benign_pass_rate_s,malicious_pass_rate_s,benign_admitted_weight_mass_s,count
dt_logit_scale,dt_logit_scale,,D0,3,weighted,0.6,0.0,128,0,0.8123514294624329,0.7799175798191132,0.8100037336349487,0.7747598927302521,0.09298495044966533,0.1288889251785989,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.4609523809523809,0.3244444444444444,0.8711110748214012,0.00516793653467594,0.013545371762612269,0.007783670586767649,0.016938279235202722,0.026831234624431044,0.034815203278142005,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.13052831770675669,0.12380789579719217,0.034815203278141936,5
dt_logit_scale,dt_logit_scale,,D0,3,weighted,0.8,0.0,128,0,0.8121649861335755,0.7795231020587119,0.8099477529525757,0.7744982049274421,0.09002588141831155,0.1272433333828756,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.026666666666666665,0.0,0.8727566666171243,0.005122781615519845,0.0135679885454548,0.007604522126713647,0.016486149219088992,0.02757193760867935,0.03557778700518236,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.05333333333333333,0.0,0.035577787005182396,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.6,0.0,128,0,0.8072710394859314,0.7760459951697382,0.805300486087799,0.7706895518016739,0.10340638616627609,0.2188795254277462,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.41066666666666674,0.22399999999999998,0.7811204745722538,0.010851042086618303,0.02313484263064956,0.012394507858208453,0.02737676937805133,0.04863270661038493,0.04473474154823733,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.09480740711803295,0.17145650566057075,0.044734741548237374,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.8,0.0,128,0,0.8073642492294312,0.7762709025660233,0.8055431127548218,0.7711089195746169,0.10485615841827656,0.21738085810275223,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.021333333333333336,0.002666666666666667,0.7826191418972478,0.010496479011300358,0.022598864416036115,0.012122409704441907,0.026978985063192802,0.050165752822831464,0.04524329835218074,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.04266666666666667,0.005333333333333334,0.04524329835218069,5
label_flip,label_flip,L1,D0,3,weighted,0.6,0.0,128,0,0.6786762952804566,0.6310444780141821,0.8005225896835327,0.7559446775453373,0.05149575972829183,0.07614568933905555,85.79078369140625,0.6702404975891113,0.671875,42.0,86.0,0.0,0.44571428571428573,0.04444444444444444,0.9238543106609445,0.0025030343356087894,0.004263917064798279,0.008494459847276781,0.012854540373521588,0.01780111601078059,0.013430600806530428,6.032175779168643,0.04712637327475502,0.047134697278119864,6.0332412515993425,6.0332412515993425,0.0,0.0781648934426026,0.03718489006818113,0.01343060080653049,5
label_flip,label_flip,L1,D0,3,weighted,0.8,0.0,128,0,0.6785830736160279,0.6310349346040003,0.8006532311439514,0.7562014826079818,0.05037158721156872,0.07476076439338614,85.79078369140625,0.6702404975891113,0.671875,42.0,86.0,0.0,0.0,0.0,0.9252392356066139,0.003103633261911679,0.004472038797140793,0.00832122884635357,0.012502212227163386,0.011634834613108859,0.013237765080707654,6.032175779168643,0.04712637327475502,0.047134697278119864,6.0332412515993425,6.0332412515993425,0.0,0.0,0.0,0.013237765080707594,5
label_flip,label_flip,L1,D0,5,weighted,0.6,0.0,128,0,0.6093684434890747,0.5550196654064024,0.7881112337112427,0.7355369592618799,0.141183933636686,0.1599756661668024,82.6106689453125,0.6453958511352539,0.646875,45.2,82.8,0.0,0.38933333333333336,0.034666666666666665,0.8400243338331975,0.009037132678337006,0.011830399940558714,0.015999089085717556,0.022014948694040866,0.060764842813512875,0.037239077855329754,6.289745086239579,0.04913863348624671,0.04901370981674413,6.273754856543249,6.273754856543249,0.0,0.13555482695614757,0.031098410105841606,0.037239077855329754,5
label_flip,label_flip,L1,D0,5,weighted,0.8,0.0,128,0,0.610440468788147,0.5568461941765771,0.7888577938079834,0.7368821292860254,0.1301092605240497,0.15773382778276943,82.6106689453125,0.6453958511352539,0.646875,45.2,82.8,0.0,0.0,0.0,0.8422661722172304,0.009578844216583532,0.012898273621079889,0.016169746277806932,0.022454743972314478,0.06463103265942699,0.03778144202629742,6.289745086239579,0.04913863348624671,0.04901370981674413,6.273754856543249,6.273754856543249,0.0,0.0,0.0,0.037781442026297324,5
stealth_amp,stealth_amp,,D0,3,weighted,0.6,0.0,128,0,0.8071312069892883,0.7683505093211278,0.8044419527053833,0.7628078885794922,3.8210917043606414e-10,0.016279089047673497,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.5371428571428571,0.0,0.9837209109523265,0.0031973896504932453,0.0054222984091938,0.005387502765262835,0.008129349668106372,5.701271974450573e-10,0.0033493018268414224,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.09107072828862414,0.0,0.003349301826841524,5
stealth_amp,stealth_amp,,D0,3,weighted,0.8,0.0,128,0,0.8069447636604309,0.7681452777047512,0.8044979453086853,0.762872134523721,3.1917657414815847e-10,0.016279088994578417,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.0,0.0,0.9837209110054216,0.0034142558814226013,0.005716165708362832,0.0053513134034858505,0.008084377750226059,4.724518175896086e-10,0.0033493018396307406,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.0,0.0,0.0033493018396308217,5
