attack_mode,attack,level,dt_level,mal_nodes,method,seed,tau_gate,lambda_m,ref_size,audit_size,skipped,skip_reason,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal,w_mal_round_mean,S_DT,S_DT_ratio,valid_ratio,fallback_rate,fallback_flag_first,fallback_flag_final,fallback_method,skip_semantic,num_masked,num_valid,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,mimic_loss,poison_loss,final_kl_to_teacher,exp_group
label_flip,label_flip,L1,D0,3,weighted,0,0.6,0.0,128,0,False,,0.6828244924545288,0.6370408396957196,0.8127099871635437,0.7723729113221045,0.0458104900045007,0.07503739306023606,91.7368392944336,0.7166940569877625,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.4095238095238095,0.0,0.9249626069397638,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,1,0.6,0.0,128,0,False,,0.6779305338859558,0.6249323252189726,0.7866741418838501,0.7342912602247406,0.0720974990475742,0.09917287737607992,91.88980102539062,0.7178890705108643,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.39047619047619053,0.04444444444444444,0.90082712262392,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,2,0.6,0.0,128,0,False,,0.6758331656455994,0.6331280500149357,0.8024449348449707,0.7620991285191503,0.026125803376274313,0.05949108616692365,75.86407470703125,0.5926880836486816,0.59375,0.0,0.0,0.0,none,0,52.0,76.0,0.6,0.1111111111111111,0.9405089138330764,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,3,0.6,0.0,128,0,False,,0.6767653226852417,0.6276822661691603,0.7974990606307983,0.7505237519391652,0.04207033051429559,0.06722095787507576,82.65809631347656,0.6457663774490356,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.4285714285714286,0.02222222222222222,0.9327790421249242,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,4,0.6,0.0,128,0,False,,0.680027961730957,0.6324389089721225,0.8032848238945007,0.7604363357215267,0.07137467569881438,0.07980613221696232,86.80510711669922,0.6781648993492126,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.4,0.04444444444444444,0.9201938677830377,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,0,0.8,0.0,128,0,False,,0.6835236549377441,0.6383193953689588,0.8126166462898254,0.7724114997630154,0.04169546329833064,0.07398158287236636,91.7368392944336,0.7166940569877625,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.9260184171276337,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,1,0.8,0.0,128,0,False,,0.6779305338859558,0.625237806341874,0.7872340679168701,0.7354248623748534,0.06461891432128966,0.0976823504547928,91.88980102539062,0.7178890705108643,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.9023176495452072,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,2,0.8,0.0,128,0,False,,0.6744348406791687,0.6310128643553671,0.8026315569877625,0.7619264383263422,0.0449931496972402,0.058537769404771955,75.86407470703125,0.5926880836486816,0.59375,0.0,0.0,0.0,none,0,52.0,76.0,0.0,0.0,0.9414622305952279,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,3,0.8,0.0,128,0,False,,0.6767653226852417,0.6278272674711792,0.7973124384880066,0.7504431200588044,0.03668036606613713,0.06590696854569601,82.65809631347656,0.6457663774490356,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.0,0.0,0.9340930314543038,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,4,0.8,0.0,128,0,False,,0.6802610158920288,0.6327773394826218,0.8034714460372925,0.7608014925168938,0.06387004267484597,0.07769515068930354,86.80510711669922,0.6781648993492126,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.0,0.0,0.9223048493106965,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,5,weighted,0,0.6,0.0,128,0,False,,0.6210673451423645,0.5691926676195499,0.8044979572296143,0.7582989801480863,0.11084757059048526,0.13769306494070857,74.78336334228516,0.5842450261116028,0.5859375,0.0,0.0,0.0,none,0,53.0,75.0,0.49333333333333335,0.02666666666666667,0.8623069350592915,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,5,weighted,1,0.6,0.0,128,0,False,,0.5963644981384277,0.5333336849646253,0.7592385411262512,0.6945988587186123,0.25364052209235555,0.22120889625062595,91.8355484008789,0.7174652218818665,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.2,0.02666666666666667,0.778791103749374,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,5,weighted,2,0.6,0.0,128,0,False,,0.6054532527923584,0.5558499235000804,0.7880738973617554,0.7382575487913254,0.15375956885604755,0.16010117898559292,76.78043365478516,0.599847137928009,0.6015625,0.0,0.0,0.0,none,0,51.0,77.0,0.5333333333333333,0.09333333333333334,0.839898821014407,False,weighted,nan,nan,nan,tau
label_flip,label_flip,L1,D0,5,weighted,3,0.6,0.0,128,0,False,,0.605919361114502,0.5566851120498504,0.7873273491859436,0.7361087814585333,0.08258318613038418,0.10941958736504193,86.77936553955078,0.6779637932777405,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.2533333333333333,0.0,0.890580412634958,False,weighted,nan,nan,nan,tau
