attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,node_id,is_malicious,R4,KL_q_p,Rep,passed_gate,pi,R2,R2_source,method_detail,uses_dt,mimic_attack_enabled,mimic_loss,poison_loss,final_kl_to_teacher,exp_group,rep,R3,r4_kl,r4_gate_hit,tau_gate,lambda_m,ref_size,audit_size,audit_size_used
label_flip,label_flip,L1,D0,3,weighted,0,15,0,1,0.5658649836209818,0.5693997740745544,3.603232574699904,0,3.603232574699904,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.603232574699904,1.0,0.5693997740745544,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,1,1,0.5609036239538852,0.5782061815261841,3.234252320137406,0,3.234252320137406,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.234252320137406,1.0,0.5782061815261841,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,2,1,0.5607116541872842,0.5785484910011292,3.2207558704150006,0,3.2207558704150006,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,3.2207558704150006,1.0,0.5785484910011292,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,3,0,0.667644629208554,0.4039992392063141,29.25347710607416,1,29.25347710607416,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,29.25347710607416,1.0,0.4039992392063141,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,4,0,0.6765646223653256,0.39072731137275696,34.96677430945577,1,34.96677430945577,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,34.96677430945577,1.0,0.39072731137275696,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,5,0,0.6621720083877288,0.4122299253940582,26.220617417003865,1,26.220617417003865,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,26.220617417003865,1.0,0.4122299253940582,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,6,0,0.6742018203334572,0.3942257761955261,33.35281793293153,1,33.35281793293153,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,33.35281793293153,1.0,0.3942257761955261,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,7,0,0.6675912865161765,0.4040791392326355,29.22228456336995,1,29.22228456336995,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,29.22228456336995,1.0,0.4040791392326355,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,8,0,0.6610840454090604,0.4138742983341217,25.656238695640837,1,25.656238695640837,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,25.656238695640837,1.0,0.4138742983341217,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,9,0,0.6702715593864947,0.4000723361968994,30.831504654627853,1,30.831504654627853,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,30.831504654627853,1.0,0.4000723361968994,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,0,1,0.5992987738271399,0.5119950175285339,7.447749756382943,0,7.447749756382943,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,7.447749756382943,1.0,0.5119950175285339,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,1,1,0.6062036080694073,0.5005393624305725,8.560666243000775,1,8.560666243000775,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,8.560666243000775,1.0,0.5005393624305725,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,2,1,0.605182748473421,0.5022248029708862,8.38765370262779,1,8.38765370262779,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,8.38765370262779,1.0,0.5022248029708862,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,3,0,0.6885148329598859,0.3732184171676636,44.40723990464934,1,44.40723990464934,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,44.40723990464934,1.0,0.3732184171676636,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,4,0,0.6877228933673531,0.3743692934513092,43.709423745794446,1,43.709423745794446,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,43.709423745794446,1.0,0.3743692934513092,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,5,0,0.6863901392451234,0.3763090968132019,42.55973603229588,1,42.55973603229588,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,42.55973603229588,1.0,0.3763090968132019,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,6,0,0.692304001792486,0.36773011088371277,47.90337176593795,1,47.90337176593795,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,47.90337176593795,1.0,0.36773011088371277,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,7,0,0.6880528309160223,0.37388965487480164,43.998805075893955,1,43.998805075893955,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,43.998805075893955,1.0,0.37388965487480164,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,8,0,0.6909910348870808,0.3696284294128418,46.66183326128205,1,46.66183326128205,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,46.66183326128205,1.0,0.3696284294128418,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,9,0,0.6888876676991748,0.3726770579814911,44.739608785509496,1,44.739608785509496,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,44.739608785509496,1.0,0.3726770579814911,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,0,1,0.6259277602508226,0.46852031350135803,12.700750203726155,1,12.700750203726155,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,12.700750203726155,1.0,0.46852031350135803,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,1,1,0.402270790509493,0.9106298089027405,0.0971710436159615,0,0.0971710436159615,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,0.0971710436159615,1.0,0.9106298089027405,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,2,15,2,1,0.5428027094807233,0.6110093593597412,2.1792402608972163,0,2.1792402608972163,0.7310585786300049,none,weighted,False,0.0,nan,nan,nan,tau,2.1792402608972163,1.0,0.6110093593597412,1,0.6,0.0,128,0,0
