1,0.9738667473510035,0.5414,1
2,0.9738782473721419,0.5088,1
3,0.5811415902755483,0.411,1
3,0.5954442693681088,0.4085,2
1,0.974504834882934,0.7769,2
2,0.9750336822218081,0.7368,2
3,0.5449703263872058,0.599,3
2,0.9755164431550916,0.7995,3
1,0.9759043526942986,0.8221,3
3,0.5688245780656801,0.411,4
1,0.9747765494076959,0.8622,4
2,0.975719776126242,0.8271,4
3,0.5001697110296041,0.594,5
2,0.9744521830649006,0.8797,5
1,0.9773274097420683,0.9123,5
3,0.598079792707792,0.589,6
1,0.9861934483542549,0.9398,6
2,0.9756117249872648,0.8997,6
3,0.49146213801234495,0.589,7
1,0.975080267096075,0.9524,7
2,0.9750053422867718,0.9273,7
3,0.5946710466837302,0.3308,8
1,0.9742558262147668,0.9624,8
2,0.9861936969918602,0.9449,8
3,0.49290821533768303,0.411,9
2,0.9749309552498989,0.9549,9
1,0.9788731715895624,0.9674,9
3,0.5776210662304502,0.4035,10
1,0.9748758272931898,0.9749,10
2,0.9748912621385668,0.9724,10
1,0.9738667473510035,0.5414,1
2,0.9738782473721419,0.5088,1
3,0.5811415902755483,0.411,1
3,0.5954442323852597,0.4085,2
1,0.9744865344046443,0.7769,2
2,0.9750171759947658,0.7368,2
3,0.5449703573659558,0.599,3
2,0.9755369653231631,0.7995,3
1,0.9758766632430002,0.8221,3
3,0.5688469166771549,0.411,4
1,0.9745441758974552,0.8622,4
2,0.9749412826983501,0.8321,4
3,0.5000915098747799,0.594,5
2,0.9744951242762969,0.8822,5
1,0.9766065412259015,0.9148,5
3,0.5980918817028382,0.589,6
1,0.9746700301878553,0.9449,6
2,0.9748791438229938,0.9023,6
3,0.4914620912233674,0.589,7
2,0.9745944045532795,0.9323,7
1,0.9759691971359522,0.9524,7
3,0.5947131243994224,0.3383,8
1,0.9741222580970732,0.9649,8
2,0.9861935224020532,0.9449,8
3,0.492908613578034,0.411,9
2,0.9757985015850364,0.9574,9
1,0.9861934931905351,0.9674,9
3,0.5776222942464833,0.406,10
1,0.9747756445647836,0.9749,10
2,0.9751564450629286,0.9749,10
1,0.2,0.5414,1
2,0.2,0.5088,1
3,0.2,0.411,1
3,0.2,0.4085,2
1,0.2,0.7318,2
2,0.2,0.7368,2
3,0.2,0.6216,3
2,0.2,0.7995,3
1,0.2,0.8145,3
3,0.2,0.411,4
1,0.2,0.802,4
2,0.2,0.7644,4
3,0.2,0.599,5
2,0.2,0.7995,5
1,0.2,0.8471,5
3,0.2,0.7218,6
1,0.2,0.7669,6
2,0.2,0.7268,6
3,0.4,0.589,7
2,0.2,0.6692,7
1,0.2,0.6792,7
3,0.2,0.5689,8
2,0.2,0.782,8
1,0.2,0.8296,8
3,0.4,0.396,9
2,0.2,0.8221,9
1,0.2,0.8672,9
3,0.2,0.6341,10
1,0.2,0.8221,10
2,0.2,0.7719,10
1,0.99,0.5414,1
2,0.99,0.5088,1
3,0.1,0.411,1
3,0.1,0.4085,2
1,0.99,0.8271,2
2,0.99,0.782,2
3,0.1,0.609,3
1,0.99,0.8571,3
2,0.99,0.817,3
3,0.1,0.411,4
1,0.99,0.8997,4
2,0.99,0.8521,4
3,0.1,0.604,5
1,0.99,0.9298,5
2,0.99,0.8997,5
3,0.1,0.589,6
1,0.99,0.9474,6
2,0.99,0.9248,6
3,0.1,0.589,7
2,0.99,0.9398,7
1,0.99,0.9599,7
3,0.1,0.3534,8
1,0.99,0.9624,8
2,0.99,0.9449,8
3,0.1,0.411,9
1,0.99,0.9649,9
2,0.99,0.9649,9
3,0.1,0.4035,10
2,0.99,0.9724,10
1,0.99,0.9724,10
1,0.99,0.5414,1
2,0.99,0.5088,1
3,0.1,0.411,1
3,0.1,0.4085,2
2,0.99,0.782,2
1,0.99,0.8271,2
3,0.1,0.609,3
2,0.99,0.817,3
1,0.99,0.8571,3
3,0.1,0.411,4
2,0.99,0.8521,4
1,0.99,0.8997,4
3,0.1,0.604,5
2,0.99,0.8997,5
1,0.99,0.9298,5
3,0.1,0.589,6
2,0.99,0.9248,6
1,0.99,0.9474,6
3,0.1,0.589,7
1,0.99,0.9599,7
2,0.99,0.9398,7
3,0.1,0.3534,8
1,0.99,0.9624,8
2,0.99,0.9449,8
3,0.1,0.411,9
1,0.99,0.9649,9
3,0.1,0.4035,10
2,0.99,0.9724,10
1,0.99,0.9724,10
3,0.99,0.411,11
1,0.99,0.985,11
2,0.99,0.9799,11
2,0.99,0.9875,12
1,0.99,0.9825,12
3,0.1,0.406,12
3,0.1,0.411,13
1,0.99,0.9825,13
2,0.99,0.985,13
3,0.1,0.6642,14
1,0.99,0.9825,14
2,0.99,0.985,14
3,0.1,0.411,15
1,0.99,0.9825,15
2,0.99,0.9825,15
3,0.1,0.411,16
2,0.99,0.985,16
1,0.99,0.9875,16
3,0.1,0.589,17
2,0.99,0.985,17
1,0.99,0.9875,17
3,0.1,0.411,18
2,0.99,0.985,18
1,0.99,0.9875,18
3,0.1,0.5539,19
1,0.99,0.9875,19
2,0.99,0.985,19
3,0.1,0.406,20
2,0.99,0.985,20
1,0.99,0.99,20
1,0.99,0.5414,1
2,0.99,0.5088,1
3,0.1,0.411,1
3,0.1,0.4085,2
2,0.99,0.7368,2
1,0.99,0.7769,2
3,0.1,0.599,3
2,0.99,0.797,3
1,0.99,0.8221,3
3,0.1,0.411,4
1,0.99,0.8972,4
2,0.99,0.8622,4
3,0.1,0.599,5
1,0.99,0.9298,5
2,0.99,0.8972,5
3,0.1,0.589,6
1,0.99,0.9499,6
2,0.99,0.9248,6
3,0.1,0.589,7
1,0.99,0.9624,7
2,0.99,0.9449,7
3,0.1,0.3383,8
1,0.99,0.9699,8
2,0.99,0.9599,8
3,0.1,0.411,9
2,0.99,0.9699,9
1,0.99,0.9749,9
3,0.1,0.406,10
1,0.99,0.985,10
2,0.99,0.985,10
3,0.99,0.4135,11
1,0.99,0.9875,11
2,0.99,0.985,11
2,0.99,0.985,12
1,0.99,0.9875,12
3,0.1,0.4085,12
3,0.1,0.411,13
1,0.99,0.9925,13
2,0.99,0.9799,13
3,0.1,0.6115,14
1,0.99,0.9925,14
2,0.99,0.99,14
3,0.1,0.411,15
2,0.99,0.99,15
1,0.99,0.9925,15
3,0.1,0.411,16
1,0.99,0.9925,16
2,0.99,0.99,16
3,0.1,0.4586,17
2,0.99,0.99,17
1,0.99,0.9925,17
3,0.1,0.411,18
2,0.99,0.99,18
1,0.99,0.9925,18
3,0.1,0.5714,19
2,0.99,0.99,19
1,0.99,0.9925,19
3,0.1,0.411,20
1,0.99,0.9925,20
2,0.99,0.99,20
1,0.99,0.5414,1
2,0.99,0.5088,1
3,0.1,0.411,1
3,0.1,0.4085,2
1,0.99,0.7769,2
2,0.99,0.7368,2
3,0.1,0.599,3
1,0.99,0.8221,3
2,0.99,0.797,3
3,0.1,0.411,4
2,0.99,0.8622,4
1,0.99,0.8972,4
3,0.1,0.599,5
1,0.99,0.9298,5
2,0.99,0.8972,5
3,0.1,0.589,6
1,0.99,0.9499,6
2,0.99,0.9248,6
3,0.1,0.589,7
2,0.99,0.9449,7
1,0.99,0.9624,7
3,0.1,0.3383,8
2,0.99,0.9599,8
1,0.99,0.9699,8
3,0.1,0.411,9
1,0.99,0.9749,9
2,0.99,0.9699,9
3,0.1,0.406,10
1,0.99,0.985,10
2,0.99,0.985,10
