attack,level,dt_level,mal_nodes,method,polluted_acc_m,polluted_acc_s,polluted_f1_m,polluted_f1_s,clean_acc_m,clean_acc_s,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,count
dt_logit_scale,,D0,0,mean,0.8051736235618592,0.003171466144437932,0.7654278417539853,0.005112153166308012,0.8026502847671508,0.005803293555194728,0.7602788133576462,0.00873374800056852,0.0,0.0,5
dt_logit_scale,,D0,0,median,0.8060125827789306,0.0022909853461515815,0.7673370939161375,0.003782340047739822,0.8045912981033325,0.005406355250733832,0.76357277408616,0.007921090291659936,0.0,0.0,5
dt_logit_scale,,D0,0,server_val,0.8050337910652161,0.003159799417492094,0.7652486204195246,0.005102442777642197,0.8026502847671508,0.005807493582927564,0.76027824004719,0.008753494194296128,0.0,0.0,5
dt_logit_scale,,D0,0,trimmed_mean,0.8061057925224304,0.0035096490752730123,0.7671526260808831,0.00556573215434869,0.8041620254516602,0.005788941689422875,0.7627413558384774,0.008232791770208499,0.0,0.0,5
dt_logit_scale,,D0,0,weighted,0.8050804018974305,0.0033435305869570883,0.7653559977233826,0.005341078319906199,0.8029488921165466,0.005865736365728013,0.7606984994477675,0.008915294032485959,0.0,0.0,5
dt_logit_scale,,D0,3,mean,0.7633185744285583,0.02715545691375556,0.6886586449887554,0.04879895689624681,0.7642404079437256,0.024986812843848974,0.6863639006297965,0.046193967867166154,0.3,0.0,5
dt_logit_scale,,D0,3,median,0.8056397199630737,0.0018817603125078743,0.7665967494092516,0.0027271547072452466,0.8038074135780334,0.004353722831468367,0.7623586421917572,0.006582108434002537,0.3,0.0,5
dt_logit_scale,,D0,3,server_val,0.7679328918457031,0.026089239178232682,0.697103644114525,0.04568882932740744,0.7676185369491577,0.0245520929423586,0.6925441546598726,0.044282256549777244,0.3294974219564278,0.01460836444182336,5
dt_logit_scale,,D0,3,trimmed_mean,0.8048473477363587,0.009712839266532425,0.7656129637812198,0.018307224333994333,0.802930223941803,0.007504415106726857,0.7611066454896397,0.015891915590649452,0.3,0.0,5
dt_logit_scale,,D0,3,weighted,0.8115590810775757,0.0041047845036837945,0.7834118736088894,0.01191730353778717,0.8110302686691284,0.005026388245151336,0.7809631596351257,0.0168797957790342,0.08127622528775856,0.01927669442671943,5
dt_logit_scale,,D0,5,mean,0.7066884398460388,0.05536194299927286,0.5598626345526887,0.1233932767201772,0.7102837085723877,0.051887675015455846,0.5604882922963332,0.12014223310465753,0.5,0.0,5
dt_logit_scale,,D0,5,median,0.7080400705337524,0.03717807247496718,0.6858974199817893,0.03724698450651181,0.7125980138778687,0.036795227663352074,0.6892885663830439,0.03847000725621701,0.5,0.0,5
dt_logit_scale,,D0,5,server_val,0.7476112842559814,0.032149189803354065,0.6557607528847932,0.05860243861211792,0.7486748933792114,0.026975991149506193,0.6533904401828491,0.051338466587731085,0.7726491652564909,0.09012244183730363,5
dt_logit_scale,,D0,5,trimmed_mean,0.721649968624115,0.05068725664855464,0.5938843249098656,0.11701740621967323,0.723982858657837,0.04615750102734224,0.5929144874728982,0.11297416060856753,0.5,0.0,5
dt_logit_scale,,D0,5,weighted,0.8100209832191467,0.00736278917107932,0.7832442008644475,0.01936694883051219,0.8069242596626282,0.008905141780829585,0.7773875733641932,0.022160198897591722,0.09343034376695017,0.03142635254132197,5
label_flip,L1,D0,0,mean,0.8051736235618592,0.003171466144437932,0.7654278417539853,0.005112153166308012,0.8026502847671508,0.005803293555194728,0.7602788133576462,0.00873374800056852,0.0,0.0,5
label_flip,L1,D0,0,median,0.8060125827789306,0.0022909853461515815,0.7673370939161375,0.003782340047739822,0.8045912981033325,0.005406355250733832,0.76357277408616,0.007921090291659936,0.0,0.0,5
label_flip,L1,D0,0,server_val,0.8050337910652161,0.003159799417492094,0.7652486204195246,0.005102442777642197,0.8026502847671508,0.005807493582927564,0.76027824004719,0.008753494194296128,0.0,0.0,5
label_flip,L1,D0,0,trimmed_mean,0.8061057925224304,0.0035096490752730123,0.7671526260808831,0.00556573215434869,0.8041620254516602,0.005788941689422875,0.7627413558384774,0.008232791770208499,0.0,0.0,5
label_flip,L1,D0,0,weighted,0.8050804018974305,0.0033435305869570883,0.7653559977233826,0.005341078319906199,0.8029488921165466,0.005865736365728013,0.7606984994477675,0.008915294032485959,0.0,0.0,5
label_flip,L1,D0,3,mean,0.4989979028701782,0.08118798439575016,0.359657234652373,0.06765830430571312,0.4955020725727081,0.13428941773801428,0.3554368460863439,0.08324418340615078,0.3,0.0,5
label_flip,L1,D0,3,median,0.6776508927345276,0.0022613855332177493,0.6352798962029989,0.008857316374712411,0.7999626994132996,0.004671745307420685,0.7601399539644181,0.013021360012042064,0.3,0.0,5
