attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,clean_acc_m,clean_acc_s,polluted_f1_m,polluted_f1_s,polluted_acc_m,polluted_acc_s,count
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.7,0.0,128,0,0.7711995244781871,0.026965966799009256,0.10263177222808802,0.048919564203871564,0.8057297587394714,0.012365513029781672,0.7763841914193913,0.022813067943965447,0.8075972914695739,0.010963157897294193,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted_r4only,0.7,0.0,128,0,0.7179883019706764,0.020836230654479617,0.1340923033667053,0.029753001969648352,0.7807390809059143,0.012563244233812776,0.7197199425598286,0.02305542802402303,0.7799580454826355,0.014363945241235338,5
label_flip,label_flip,L1,D0,5,weighted,0.7,0.0,128,0,0.7368821292860254,0.022454743972314478,0.13016253149905416,0.06465107648180081,0.7888577938079834,0.016169746277806932,0.5568461941765771,0.012898273621079889,0.610440468788147,0.009578844216583532,5
label_flip,label_flip,L1,D0,5,weighted_r4only,0.7,0.0,128,0,0.523743434634012,0.1653095096112592,0.22793188136882997,0.02134072281716584,0.6038073837757111,0.1740080455043629,0.4505011545314332,0.08076026822519855,0.5369377732276917,0.06629211205811042,5
stealth_amp,stealth_amp,,D0,5,weighted,0.7,0.0,128,0,0.7637394221075601,0.004321473626446183,3.4963547067387735e-10,8.762499585172511e-11,0.8041993141174316,0.003199828407501533,0.7691132464741921,0.005417302279695333,0.8068049311637878,0.0033253047661500573,5
stealth_amp,stealth_amp,,D0,5,weighted_r4only,0.7,0.0,128,0,0.7656402472917552,0.004681474563964942,4.583352018495433e-07,1.7631691572293112e-07,0.8057670831680298,0.003758132722069171,0.7696253933119476,0.00571413238252177,0.8072710394859314,0.003577077756978274,5
