attack_mode,attack,level,dt_level,mal_nodes,method,rep_config,tau_gate,lambda_m,ref_size,audit_size,polluted_acc_m,polluted_f1_m,clean_acc_m,clean_f1_m,delta_f1_m,w_mal_m,w_mal_round_mean_m,S_DT_m,S_DT_ratio_m,valid_ratio_m,num_masked_m,num_valid_m,fallback_rate_m,benign_pass_rate_m,malicious_pass_rate_m,benign_admitted_weight_mass_m,polluted_acc_s,polluted_f1_s,clean_acc_s,clean_f1_s,delta_f1_s,w_mal_s,w_mal_round_mean_s,S_DT_s,S_DT_ratio_s,valid_ratio_s,num_masked_s,num_valid_s,fallback_rate_s,benign_pass_rate_s,malicious_pass_rate_s,benign_admitted_weight_mass_s,count
dt_logit_scale,dt_logit_scale,,D0,5,weighted,"R2,R4",0.7,0.0,128,0,0.8075972914695739,0.7763841914193913,0.8057297587394714,0.7711995244781871,-0.005184666941204119,0.10263177222808802,0.21787464306879284,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.184,0.031999999999999994,0.7821253569312071,0.010963157897294193,0.022813067943965447,0.012365513029781672,0.026965966799009256,0.004911364333332212,0.048919564203871564,0.044903032818082465,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.12772192015816583,0.057565421719794396,0.04490303281808245,5
dt_logit_scale,dt_logit_scale,,D0,5,weighted_r4only,R4,0.7,0.0,128,0,0.7799580454826355,0.7197199425598286,0.7807390809059143,0.7179883019706764,-0.0017316405891521613,0.1340923033667053,0.2917401346913729,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.029333333333333333,0.0,0.7082598653086272,0.014363945241235338,0.02305542802402303,0.012563244233812776,0.020836230654479617,0.008350030419170706,0.029753001969648352,0.02584964645276202,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.058666666666666666,0.0,0.025849646452762085,5
label_flip,label_flip,L1,D0,5,weighted,"R2,R4",0.7,0.0,128,0,0.610440468788147,0.5568461941765771,0.7888577938079834,0.7368821292860254,0.18003593510944843,0.13016253149905416,0.15773737918110306,82.6106689453125,0.6453958511352539,0.646875,45.2,82.8,0.0,0.010666666666666668,0.0,0.8422626208188969,0.009578844216583532,0.012898273621079889,0.016169746277806932,0.022454743972314478,0.010071875062149337,0.06465107648180081,0.037781288937958006,6.289745086239579,0.04913863348624671,0.04901370981674413,6.273754856543249,6.273754856543249,0.0,0.021333333333333336,0.0,0.03778128893795799,5
label_flip,label_flip,L1,D0,5,weighted_r4only,R4,0.7,0.0,128,0,0.5369377732276917,0.4505011545314332,0.6038073837757111,0.523743434634012,0.07324228010257873,0.22793188136882997,0.23980091069762022,82.6106689453125,0.6453958511352539,0.646875,45.2,82.8,0.0,0.0,0.0,0.7601990893023797,0.06629211205811042,0.08076026822519855,0.1740080455043629,0.1653095096112592,0.09072787030976887,0.02134072281716584,0.019216012321354375,6.289745086239579,0.04913863348624671,0.04901370981674413,6.273754856543249,6.273754856543249,0.0,0.0,0.0,0.01921601232135435,5
stealth_amp,stealth_amp,,D0,5,weighted,"R2,R4",0.7,0.0,128,0,0.8068049311637878,0.7691132464741921,0.8041993141174316,0.7637394221075601,-0.0053738243666320296,3.4963547067387735e-10,0.029382187184734863,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.152,0.0,0.970617812815265,0.0033253047661500573,0.005417302279695333,0.003199828407501533,0.004321473626446183,0.004810253035338838,8.762499585172511e-11,0.007651553066195492,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.06777741347807378,0.0,0.007651553066195418,5
stealth_amp,stealth_amp,,D0,5,weighted_r4only,R4,0.7,0.0,128,0,0.8072710394859314,0.7696253933119476,0.8057670831680298,0.7656402472917552,-0.003985146020192265,4.583352018495433e-07,0.03557783268031066,86.15625457763672,0.6730957388877868,0.675,41.6,86.4,0.0,0.1706666666666667,0.0,0.9644221673196892,0.003577077756978274,0.00571413238252177,0.003758132722069171,0.004681474563964942,0.0036612932774654863,1.7631691572293112e-07,0.00520345410899874,4.576420474152264,0.03575328495431456,0.03583545294118661,4.586937976471886,4.586937976471886,0.0,0.07075466219424852,0.0,0.005203454108998709,5
