attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,tau_gate,lambda_m,ref_size,audit_size,S_DT,S_DT_ratio,num_masked,num_valid,valid_ratio,fallback_flag,fallback_method,skip_semantic,W_mal,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,exp_group,w_mal,rep_config
label_flip,label_flip,L1,D0,5,weighted,0,1,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.3563120257498844,0.0,0.0,0.6436879742501156,False,weighted,base,0.3563120257498844,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,2,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.22837661249836083,0.0,0.0,0.7716233875016392,False,weighted,base,0.22837661249836083,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,3,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.17579295312605445,0.0,0.0,0.8242070468739455,False,weighted,base,0.17579295312605445,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,4,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.13430158283863905,0.0,0.0,0.8656984171613611,False,weighted,base,0.13430158283863905,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,5,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.11879504288852157,0.0,0.0,0.8812049571114784,False,weighted,base,0.11879504288852157,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,6,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.12231906547966596,0.0,0.0,0.8776809345203341,False,weighted,base,0.12231906547966596,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,7,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.11681721391195637,0.0,0.0,0.8831827860880437,False,weighted,base,0.11681721391195637,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,8,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.11636455168368347,0.0,0.0,0.8836354483163165,False,weighted,base,0.11636455168368347,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,9,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.11122072567226658,0.0,0.0,0.8887792743277334,False,weighted,base,0.11122072567226658,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,10,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.10974183938909497,0.0,0.0,0.8902581606109049,False,weighted,base,0.10974183938909497,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,11,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.10230918833396979,0.0,0.0,0.8976908116660302,False,weighted,base,0.10230918833396979,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,12,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.08623973613461317,0.0,0.0,0.9137602638653869,False,weighted,base,0.08623973613461317,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,13,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.049614934540383814,0.0,0.0,0.9503850654596162,False,weighted,base,0.049614934540383814,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,14,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.07993904017857267,0.0,0.0,0.9200609598214272,False,weighted,base,0.07993904017857267,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,0,15,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.07993822187903964,0.0,0.0,0.9200617781209605,False,weighted,base,0.07993822187903964,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,1,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.10429623512304013,0.0,0.0,0.8957037648769599,False,weighted,base,0.10429623512304013,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,2,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.12287885714661907,0.0,0.0,0.8771211428533809,False,weighted,base,0.12287885714661907,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,3,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.15212131439402404,0.0,0.0,0.847878685605976,False,weighted,base,0.15212131439402404,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,4,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.1646546421440673,0.0,0.0,0.8353453578559327,False,weighted,base,0.1646546421440673,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,5,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.18074963442812775,0.0,0.0,0.8192503655718724,False,weighted,base,0.18074963442812775,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,6,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.2101670173001707,0.0,0.0,0.7898329826998294,False,weighted,base,0.2101670173001707,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,7,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.20967486015137465,0.0,0.0,0.7903251398486254,False,weighted,base,0.20967486015137465,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,8,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.20522446118813528,0.0,0.0,0.7947755388118647,False,weighted,base,0.20522446118813528,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,9,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.2334429900349644,0.0,0.0,0.7665570099650355,False,weighted,base,0.2334429900349644,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,10,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.2820918460681712,0.0,0.0,0.7179081539318287,False,weighted,base,0.2820918460681712,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,11,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.11186711939911839,0.0,0.0,0.8881328806008815,False,weighted,base,0.11186711939911839,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,12,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.41152777148749753,0.0,0.0,0.5884722285125025,False,weighted,base,0.41152777148749753,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,13,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.38319792675020975,0.0,0.0,0.6168020732497902,False,weighted,base,0.38319792675020975,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,14,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.28504516349263365,0.0,0.0,0.7149548365073665,False,weighted,base,0.28504516349263365,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,1,15,0.7,0.0,128,0,91.8355484008789,0.7174652218818665,36,92,0.71875,0,none,0,0.24657255502073028,0.0,0.0,0.7534274449792697,False,weighted,base,0.24657255502073028,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,1,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.16559014311948037,0.0,0.0,0.8344098568805196,False,weighted,base,0.16559014311948037,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,2,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.2522849391781746,0.0,0.0,0.7477150608218254,False,weighted,base,0.2522849391781746,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,3,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.24940146154903128,0.0,0.0,0.7505985384509686,False,weighted,base,0.24940146154903128,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,4,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.22720615415004747,0.0,0.0,0.7727938458499525,False,weighted,base,0.22720615415004747,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,5,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.18409506073808904,0.0,0.0,0.815904939261911,False,weighted,base,0.18409506073808904,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,6,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.14789739815209377,0.0,0.0,0.8521026018479062,False,weighted,base,0.14789739815209377,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,7,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.1283429241757653,0.0,0.0,0.8716570758242347,False,weighted,base,0.1283429241757653,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,8,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.15226844600122993,0.0,0.0,0.84773155399877,False,weighted,base,0.15226844600122993,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,9,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.14195020658682098,0.0,0.0,0.8580497934131789,False,weighted,base,0.14195020658682098,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,10,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.08570280787452732,0.0,0.0,0.9142971921254727,False,weighted,base,0.08570280787452732,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,11,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.11314098854129973,0.0,0.0,0.8868590114587004,False,weighted,base,0.11314098854129973,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,12,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.11944755349504987,0.0,0.0,0.8805524465049501,False,weighted,base,0.11944755349504987,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,13,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.11524687252768272,0.0,0.0,0.8847531274723173,False,weighted,base,0.11524687252768272,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,14,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.10457191899083375,0.0,0.0,0.8954280810091662,False,weighted,base,0.10457191899083375,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,2,15,0.7,0.0,128,0,76.78043365478516,0.599847137928009,51,77,0.6015625,0,none,0,0.15459102017071394,0.8,0.0,0.845408979829286,False,weighted,base,0.15459102017071394,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,1,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.13107836207903756,0.0,0.0,0.8689216379209624,False,weighted,base,0.13107836207903756,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,2,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.1402145123858439,0.0,0.0,0.8597854876141561,False,weighted,base,0.1402145123858439,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,3,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.13212991456770304,0.0,0.0,0.8678700854322969,False,weighted,base,0.13212991456770304,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,4,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.11290115020398787,0.0,0.0,0.8870988497960121,False,weighted,base,0.11290115020398787,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,5,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.11666660167907876,0.0,0.0,0.8833333983209213,False,weighted,base,0.11666660167907876,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,6,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.11941082056177792,0.0,0.0,0.880589179438222,False,weighted,base,0.11941082056177792,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,7,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.1290836163205795,0.0,0.0,0.8709163836794205,False,weighted,base,0.1290836163205795,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,8,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.12292336345309018,0.0,0.0,0.8770766365469099,False,weighted,base,0.12292336345309018,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,9,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.12292091578851497,0.0,0.0,0.8770790842114852,False,weighted,base,0.12292091578851497,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,10,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.1137627233943095,0.0,0.0,0.8862372766056904,False,weighted,base,0.1137627233943095,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,11,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.09546485178222151,0.0,0.0,0.9045351482177784,False,weighted,base,0.09546485178222151,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,12,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.05842297864316245,0.0,0.0,0.9415770213568375,False,weighted,base,0.05842297864316245,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,13,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.07967091767756734,0.0,0.0,0.9203290823224326,False,weighted,base,0.07967091767756734,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,14,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.07756803647316661,0.0,0.0,0.9224319635268334,False,weighted,base,0.07756803647316661,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,3,15,0.7,0.0,128,0,86.77936553955078,0.6779637932777405,41,87,0.6796875,0,none,0,0.07701911458025008,0.0,0.0,0.9229808854197499,False,weighted,base,0.07701911458025008,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,1,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.2270622120675641,0.0,0.0,0.772937787932436,False,weighted,base,0.2270622120675641,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,2,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.2730701452461299,0.0,0.0,0.7269298547538702,False,weighted,base,0.2730701452461299,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,3,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.23745048052667622,0.0,0.0,0.7625495194733238,False,weighted,base,0.23745048052667622,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,4,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.18672562670437656,0.0,0.0,0.8132743732956235,False,weighted,base,0.18672562670437656,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,5,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.135463674127624,0.0,0.0,0.8645363258723759,False,weighted,base,0.135463674127624,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,6,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.4809885327357765,0.0,0.0,0.5190114672642234,False,weighted,base,0.4809885327357765,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,7,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.20883582299697953,0.0,0.0,0.7911641770030206,False,weighted,base,0.20883582299697953,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,8,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.09518969629923264,0.0,0.0,0.9048103037007673,False,weighted,base,0.09518969629923264,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,9,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.1302664935507136,0.0,0.0,0.8697335064492864,False,weighted,base,0.1302664935507136,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,10,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.14836788977993706,0.0,0.0,0.8516321102200629,False,weighted,base,0.14836788977993706,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,11,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.05035776012054095,0.0,0.0,0.949642239879459,False,weighted,base,0.05035776012054095,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,12,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.10020788240726967,0.0,0.0,0.8997921175927304,False,weighted,base,0.10020788240726967,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,13,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.10341387783275227,0.0,0.0,0.8965861221672479,False,weighted,base,0.10341387783275227,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,14,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.09764069506789827,0.0,0.0,0.9023593049321016,False,weighted,base,0.09764069506789827,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted,4,15,0.7,0.0,128,0,82.8746337890625,0.6474580764770508,45,83,0.6484375,0,none,0,0.09269174584453688,0.0,0.0,0.9073082541554631,False,weighted,base,0.09269174584453688,"R2,R4"
label_flip,label_flip,L1,D0,5,weighted_r4only,0,1,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.41103411490960645,0.0,0.0,0.5889658850903936,False,weighted,base,0.41103411490960645,R4
label_flip,label_flip,L1,D0,5,weighted_r4only,0,2,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.3221149063654459,0.0,0.0,0.6778850936345541,False,weighted,base,0.3221149063654459,R4
label_flip,label_flip,L1,D0,5,weighted_r4only,0,3,0.7,0.0,128,0,74.78336334228516,0.5842450261116028,53,75,0.5859375,0,none,0,0.27571574866255166,0.0,0.0,0.7242842513374483,False,weighted,base,0.27571574866255166,R4
