attack,level,dt_level,mal_nodes,is_malicious,method,node_id,R2_m,R3_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R3_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,0,0,weighted,0,0.7310585786300049,1.0,0.7187712018545103,89.0095910229048,89.0095910229048,0.33076831698417664,0.8,0.0,0.0,0.02366519467421136,32.84566492448679,32.84566492448679,0.03356577512335958,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,1,0.7310585786300049,1.0,0.717528801933504,85.92280044402312,85.92280044402312,0.33242610692977903,0.8,0.0,0.0,0.02206767278263491,30.506209387129182,30.506209387129182,0.03128939892595028,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,2,0.7310585786300049,1.0,0.7203463035287999,95.70455726709622,95.70455726709622,0.3287539303302765,0.8,0.0,0.0,0.027337964633817515,46.08930695174521,46.08930695174521,0.038370838983081794,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,3,0.7310585786300049,1.0,0.7165694360244718,85.90764512583237,85.90764512583237,0.33382314443588257,0.8,0.0,0.0,0.023475865007518578,37.35870415020698,37.35870415020698,0.03305470606651661,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,4,0.7310585786300049,1.0,0.7180109450785687,89.17136158973406,89.17136158973406,0.3318793296813965,0.8,0.0,0.0,0.024853777636357748,38.89915821679732,38.89915821679732,0.03503942723590679,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,5,0.7310585786300049,1.0,0.7132143717140289,80.87227072013407,80.87227072013407,0.33855144381523133,0.8,0.0,0.0,0.02413474077513383,36.759441631132994,36.759441631132994,0.0340920325759646,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,6,0.7310585786300049,1.0,0.7153612889087502,80.74590829607048,80.74590829607048,0.3353387236595154,0.8,0.0,0.0,0.019282851153077468,25.400978210377858,25.400978210377858,0.02739186707303525,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,7,0.7310585786300049,1.0,0.7106637714951085,74.05151757625478,74.05151757625478,0.34197806715965273,0.8,0.0,0.0,0.020439426535993566,24.689698630795988,24.689698630795988,0.029208954100557023,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,8,0.7310585786300049,1.0,0.7168995432488507,86.35686934548903,86.35686934548903,0.3333432495594025,0.8,0.0,0.0,0.023099030989712166,37.59826821401697,37.59826821401697,0.032436966249726966,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted,9,0.7310585786300049,1.0,0.7173206263391141,85.01420406162624,85.01420406162624,0.3326691746711731,0.8,0.0,0.0,0.02098438867509654,29.535363720051315,29.535363720051315,0.02971063858564664,0.4000000000000001,5
dt_logit_scale,,D0,0,0,weighted_r2only,0,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,1,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,2,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,3,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,4,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,5,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,6,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,7,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,8,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
dt_logit_scale,,D0,0,0,weighted_r2only,9,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,5
