attack,level,dt_level,mal_nodes,is_malicious,method,R2_m,R3_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R3_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,0,0,weighted,0.7310585786300049,1.0,0.7164686290125708,85.27567254491652,85.27567254491652,0.33395314872264864,0.8,0.0,0.0,0.023193714384647984,34.98621016979763,34.98621016979763,0.03276021291233961,0.4,50
dt_logit_scale,,D0,0,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,50
dt_logit_scale,,D0,0,0,weighted_r4only,0.5,0.5,0.7163208748250934,8.88180405948047,8.88180405948047,0.33415750503540037,0.8,0.0,0.0,0.02314693774606082,1.9830017677188079,1.9830017677188079,0.03270251932631413,0.4,50
dt_logit_scale,,D0,3,0,weighted,0.7310585786300049,1.0,0.7525496127188676,240.23632322116012,240.23632322116012,0.28575433705534253,0.9714285714285714,0.0,0.0,0.04130613405862452,268.6282292596327,268.6282292596327,0.053792002002920634,0.1665986255670086,35
dt_logit_scale,,D0,3,0,weighted_r2only,0.7310585786300049,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,35
dt_logit_scale,,D0,3,0,weighted_r4only,0.5,0.5,0.742464047504537,12.488546428517074,12.488546428517074,0.299416926077434,0.8,0.0,0.0,0.043022986130923264,6.208406355546577,6.208406355546577,0.05684109983331312,0.4,35
dt_logit_scale,,D0,3,1,weighted,0.731058578630005,1.0,0.6730976778504699,52.96392441214299,52.96392441214299,0.39884867866834006,0.3333333333333333,1.1102230246251565e-16,0.0,0.05170509551425741,56.71814761088633,56.71814761088633,0.07751064854754579,0.47140452079103173,15
dt_logit_scale,,D0,3,1,weighted_r2only,0.731058578630005,0.5,0.5,1.023374866089881,1.023374866089881,nan,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,nan,0.0,15
dt_logit_scale,,D0,3,1,weighted_r4only,0.5,0.5,0.6558428514167697,5.446225047470936,5.446225047470936,0.4253491540749868,0.2,0.0,0.0,0.05634780295659493,4.211612934126726,4.211612934126726,0.08284346822160164,0.4,15
dt_logit_scale,,D0,5,0,weighted,0.7310585786300049,1.0,0.7373048677610393,212.56907193570692,212.56907193570692,0.30684126675128937,0.8,0.0,0.0,0.04860261446949634,293.9000176876287,293.9000176876287,0.06398045026251506,0.4,25
