attack,level,dt_level,mal_nodes,is_malicious,method,node_id,R2_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,5,0,weighted,5,0.7310585786300049,0.7411205637222793,262.0696451788713,262.0696451788713,0.302280068397522,0.8,0.0,0.05545788823451628,351.94567299245904,351.94567299245904,0.07258508247864599,0.4000000000000001,5
dt_logit_scale,,D0,5,0,weighted,6,0.7310585786300049,0.7372590679343882,158.40852467990075,158.40852467990075,0.30616906881332395,0.8,0.0,0.03848182233076624,125.5620397942957,125.5620397942957,0.05193873974354882,0.4000000000000001,5
dt_logit_scale,,D0,5,0,weighted,7,0.7310585786300049,0.7254315103897924,128.8421241929291,128.8421241929291,0.32226122319698336,0.8,0.0,0.03716148689563578,122.27780861971725,122.27780861971725,0.050069792153622644,0.4000000000000001,5
dt_logit_scale,,D0,5,0,weighted,8,0.7310585786300049,0.7441080581018396,312.1110594598715,312.1110594598715,0.2985715210437775,0.8,0.0,0.05906832341036807,448.6735060431598,448.6735060431598,0.07656506305793523,0.4000000000000001,5
dt_logit_scale,,D0,5,0,weighted,9,0.7310585786300049,0.7386051386568979,201.41400616696214,201.41400616696214,0.3049244523048401,0.8,0.0,0.046702112997631134,231.44724176641955,231.44724176641955,0.061652055262188636,0.4000000000000001,5
dt_logit_scale,,D0,5,0,weighted_r4only,5,0.5,0.6651867791181816,5.479445390693568,5.479445390693568,0.4095887362957001,0.2,0.0,0.041537033563114154,2.855049872237865,2.855049872237865,0.06129295611716652,0.4,5
dt_logit_scale,,D0,5,0,weighted_r4only,6,0.5,0.667622491851718,5.550826578210717,5.550826578210717,0.40562469959259034,0.2,0.0,0.038275320764296426,2.7267424711293957,2.7267424711293957,0.055994672958069314,0.4,5
dt_logit_scale,,D0,5,0,weighted_r4only,7,0.5,0.666030884465798,5.476868347879967,5.476868347879967,0.4081176817417145,0.2,0.0,0.039345544620638676,2.723789456818546,2.723789456818546,0.05790057193012508,0.4,5
dt_logit_scale,,D0,5,0,weighted_r4only,8,0.5,0.6674767198497396,5.609485090312162,5.609485090312162,0.40607287287712096,0.2,0.0,0.04093923633387902,2.943789199307788,2.943789199307788,0.05989836039251824,0.4,5
dt_logit_scale,,D0,5,0,weighted_r4only,9,0.5,0.6680559542983,5.585063388266063,5.585063388266063,0.40500904321670533,0.2,0.0,0.03866426838192035,2.7511532765769378,2.7511532765769378,0.05660613709192852,0.4,5
dt_logit_scale,,D0,5,1,weighted,0,0.7310585786300049,0.6179914495059915,16.354508233947787,16.354508233947787,0.48481587767601014,0.0,0.0,0.051730437019094175,15.059228324293167,15.059228324293167,0.08427743162758798,0.0,5
dt_logit_scale,,D0,5,1,weighted,1,0.7310585786300049,0.5939155338660992,40.74255759085857,40.74255759085857,0.5441298902034759,0.2,0.0,0.1199513510762785,68.67464288410591,68.67464288410591,0.22234551737683164,0.4,5
dt_logit_scale,,D0,5,1,weighted,2,0.7310585786300049,0.6320582580017685,23.752446093661444,23.752446093661444,0.4623450219631195,0.0,0.0,0.05366510392486003,22.390842844585958,22.390842844585958,0.08430367052448398,0.0,5
dt_logit_scale,,D0,5,1,weighted,3,0.7310585786300049,0.6207601912178777,82.02819814403938,82.02819814403938,0.4874048173427582,0.2,0.0,0.0941268205808266,153.81941696720855,153.81941696720855,0.14267978460768613,0.4,5
