attack,level,dt_level,mal_nodes,is_malicious,method,node_id,R2_m,R3_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R3_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,3,0,weighted,3,0.731058578630005,1.0,0.7578236901352696,292.7393979037114,292.7393979037114,0.2791201859712601,0.6,1.1102230246251565e-16,0.0,0.04643338887035779,347.30810063012746,347.30810063012746,0.059767866756449864,0.48989794855663565,10
dt_logit_scale,,D0,3,0,weighted,4,0.731058578630005,1.0,0.7556613389132847,289.8244707014422,289.8244707014422,0.2821001797914505,0.6,1.1102230246251565e-16,0.0,0.04787230563174341,353.7891603212765,353.7891603212765,0.061729494799781785,0.48989794855663565,10
dt_logit_scale,,D0,3,0,weighted,5,0.731058578630005,1.0,0.7550171326793815,278.2361924438886,278.2361924438886,0.283004030585289,0.6,1.1102230246251565e-16,0.0,0.04819282802684909,320.15491505481924,320.15491505481924,0.06270988063076711,0.48989794855663565,10
dt_logit_scale,,D0,3,0,weighted,6,0.731058578630005,1.0,0.7502574609861974,172.9126456889855,172.9126456889855,0.2880909234285355,0.5,1.1102230246251565e-16,0.0,0.028898412544395295,85.97461395753163,85.97461395753163,0.03891689417859088,0.5,10
dt_logit_scale,,D0,3,0,weighted,7,0.731058578630005,1.0,0.7427324868687782,152.4908347803527,152.4908347803527,0.29818871319293977,0.5,1.1102230246251565e-16,0.0,0.029210526818527337,97.67277035712524,97.67277035712524,0.039179208829080714,0.5,10
dt_logit_scale,,D0,3,0,weighted,8,0.731058578630005,1.0,0.7551952469760728,251.77779285089287,251.77779285089287,0.2823416903614998,0.6,1.1102230246251565e-16,0.0,0.04275877957545245,263.7091766197383,263.7091766197383,0.05555733670124324,0.48989794855663565,10
dt_logit_scale,,D0,3,0,weighted,9,0.731058578630005,1.0,0.7506948152448454,197.49060533604228,197.49060533604228,0.28781260550022125,0.6,1.1102230246251565e-16,0.0,0.034795720598296054,165.4075822013772,165.4075822013772,0.04578209706476651,0.48989794855663565,10
dt_logit_scale,,D0,3,1,weighted,0,0.731058578630005,1.0,0.6797594724435057,46.698225733123294,46.698225733123294,0.38742380142211913,0.5,1.1102230246251565e-16,0.0,0.03642019915331526,38.82969484848801,38.82969484848801,0.052797692122175284,0.5,10
dt_logit_scale,,D0,3,1,weighted,1,0.731058578630005,1.0,0.6433622629574846,34.86370840825819,34.86370840825819,0.4452220141887665,0.3,1.1102230246251565e-16,0.0,0.05934705983179562,44.97474837109691,44.97474837109691,0.09096308958347739,0.45825756949558394,10
dt_logit_scale,,D0,3,1,weighted,2,0.731058578630005,1.0,0.6950715489442143,71.58070839727581,71.58070839727581,0.3655335485935211,0.5,1.1102230246251565e-16,0.0,0.04206467969778088,72.28398865335085,72.28398865335085,0.05957684582324438,0.5,10
