attack,level,dt_level,mal_nodes,method,clean_f1_m,polluted_f1_m,clean_acc_m,polluted_acc_m,w_mal_m,clean_f1_s,polluted_f1_s,clean_acc_s,polluted_acc_s,w_mal_s,count
dt_logit_scale,,D0,3,weighted,0.774629048828847,0.7797203409389126,0.8099757432937622,0.8122582077980042,0.09150541593398845,0.01671425528967471,0.013558119628265052,0.0076946686574988,0.005146253008946616,0.027244310779815414,10
dt_logit_scale,,D0,5,weighted,0.7708992356881453,0.7761584488678805,0.8054217994213104,0.8073176443576813,0.10413127229227633,0.027179413820789814,0.022868700314051034,0.012259813945148468,0.010675334421655656,0.04941049396800509,10
label_flip,L1,D0,3,weighted,0.7560730800766596,0.6310397063090911,0.8005879104137421,0.6786296844482422,0.050933673469930274,0.012680250257933203,0.004369219911892133,0.008408544202356745,0.002819757564848483,0.015047939886033285,10
label_flip,L1,D0,5,weighted,0.7362095442739527,0.5559329297914897,0.788484513759613,0.6099044561386109,0.13564659708036786,0.022246103412287454,0.012409511046611681,0.016088974831393085,0.009327342673354718,0.06297166305986655,10
stealth_amp,,D0,3,weighted,0.7628400115516067,0.7682478935129395,0.8044699490070343,0.8070379853248596,3.506428722921113e-10,0.008106958535892675,0.005572114968842129,0.005369511559436961,0.003308914048320677,5.245169191971067e-10,10
stealth_amp,,D0,5,weighted,0.763860564908817,0.7691776485070309,0.8042926371097565,0.8068515479564666,3.725583925622246e-10,0.004340333103772395,0.0054885999812372376,0.0032079811262011176,0.0033542395942801483,9.844848533097538e-11,10
