attack,level,dt_level,mal_nodes,is_malicious,method,R2_m,R3_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R3_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
dt_logit_scale,,D0,3,0,weighted,0.731058578630005,1.0,0.752483167400547,233.6388485293308,233.6388485293308,0.2858083326901708,0.5714285714285714,1.1102230246251565e-16,0.0,0.040801646509599575,262.58867061535454,262.58867061535454,0.05316856651751929,0.49487165930539356,70
dt_logit_scale,,D0,3,1,weighted,0.731058578630005,1.0,0.6727310947817349,51.047547512885764,51.047547512885764,0.39939312140146893,0.43333333333333335,1.1102230246251565e-16,0.0,0.05173317427784676,56.148292205315755,56.148292205315755,0.07746247096467805,0.49553562491061687,30
dt_logit_scale,,D0,5,0,weighted,0.7310585786300049,1.0,0.7368769873796178,211.38965818655734,211.38965818655734,0.307481432557106,0.56,0.0,0.0,0.04928482447754055,301.4648878268732,301.4648878268732,0.06487379048150364,0.4963869458396343,50
dt_logit_scale,,D0,5,1,weighted,0.7310585786300049,1.0,0.6144811301958256,36.73187306184056,36.73187306184056,0.4961446353793144,0.28,0.0,0.0,0.08142076600609174,83.37349927354755,83.37349927354755,0.13752247313502433,0.44899888641287294,50
label_flip,L1,D0,3,0,weighted,0.731058578630005,1.0,0.6931136847827976,48.054762882329705,48.054762882329705,0.3668376569237028,0.5,1.1102230246251565e-16,0.0,0.016288478685934936,16.60371401312516,16.60371401312516,0.023519135610814788,0.5,70
label_flip,L1,D0,3,1,weighted,0.731058578630005,1.0,0.5806668235048351,5.84691502006584,5.84691502006584,0.54738696316878,0.2,1.1102230246251565e-16,0.0,0.04745767567301192,3.404081392999123,3.404081392999123,0.09033762873247658,0.4000000000000001,30
label_flip,L1,D0,5,0,weighted,0.7310585786300049,1.0,0.6731291245335014,34.30290086861126,34.30290086861126,0.3966002398729324,0.5,0.0,0.0,0.02644194292019661,15.781418965166328,15.781418965166328,0.03968516662719407,0.5,50
label_flip,L1,D0,5,1,weighted,0.7310585786300049,1.0,0.5584965336775166,5.001769984868253,5.001769984868253,0.5902746987342834,0.16,0.0,0.0,0.06633344665783202,4.066923462230635,4.066923462230635,0.12773553573783566,0.36660605559646714,50
stealth_amp,,D0,3,0,weighted,0.731058578630005,1.0,0.7174497416946822,82.25935254778358,82.25935254778358,0.33251256687300546,0.5,1.1102230246251565e-16,0.0,0.021625173254722626,33.21865086164042,33.21865086164042,0.030437766571243585,0.5,70
stealth_amp,,D0,3,1,weighted,0.731058578630005,1.0,0.0008758270339226606,6.579883930472577e-08,6.579883930472577e-08,8.68592209815979,0.0,1.1102230246251565e-16,0.0,0.0019209393576487832,1.5143801519088249e-07,1.5143801519088249e-07,1.801428152475699,0.0,30
stealth_amp,,D0,5,0,weighted,0.7310585786300049,1.0,0.7184439279671112,80.97541186958438,80.97541186958438,0.33091991901397705,0.5,0.0,0.0,0.01610732355882594,27.61714362263838,27.61714362263838,0.022487394332143047,0.5,50
stealth_amp,,D0,5,1,weighted,0.7310585786300049,1.0,0.00044784118913302173,3.0972015266225826e-08,3.0972015266225826e-08,8.547578706741334,0.0,0.0,0.0,0.000508224337284627,3.6138046876800534e-08,3.6138046876800534e-08,1.4746230280602972,0.0,50
