attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,node_id,is_malicious,R4,KL_q_p,Rep,passed_gate,pi,R2,R2_source,rep_config,method_detail,uses_dt,mimic_attack_enabled,mimic_loss,poison_loss,final_kl_to_teacher,exp_group,rep,R3,r4_kl,r4_gate_hit,tau_gate,lambda_m,ref_size,audit_size,audit_size_used
label_flip,label_flip,L1,D0,3,weighted,0,15,0,1,0.5670084434237769,0.5673810839653015,3.1663154279970414,0,3.1663154279970414,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,3.1663154279970414,0.5,0.5673810839653015,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,1,1,0.5616912099469661,0.5768030285835266,2.820183551898542,0,2.820183551898542,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,2.820183551898542,0.5,0.5768030285835266,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,2,1,0.561568153135807,0.577022135257721,2.812634895599425,0,2.812634895599425,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,2.812634895599425,0.5,0.577022135257721,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,3,0,0.6684640473096433,0.4027726650238037,28.397158375795154,0,28.397158375795154,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,28.397158375795154,0.5,0.4027726650238037,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,4,0,0.677278856927456,0.389672189950943,34.31854059980486,0,34.31854059980486,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,34.31854059980486,0.5,0.389672189950943,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,5,0,0.6625774939980754,0.4116177558898926,25.020936286799486,0,25.020936286799486,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,25.020936286799486,0.5,0.4116177558898926,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,6,0,0.6746158988936091,0.3936117887496948,32.41064735637549,0,32.41064735637549,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,32.41064735637549,0.5,0.3936117887496948,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,7,0,0.6681229937642486,0.4032829999923706,28.189728587093303,0,28.189728587093303,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,28.189728587093303,0.5,0.4032829999923706,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,8,0,0.6617967887762166,0.4127967357635498,24.604265976001773,0,24.604265976001773,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,24.604265976001773,0.5,0.4127967357635498,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,9,0,0.6699089796046009,0.4006134271621704,29.292952753399867,0,29.292952753399867,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,29.292952753399867,0.5,0.4006134271621704,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,0,1,0.6003180092783664,0.5102957487106323,6.526333098720809,0,6.526333098720809,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,6.526333098720809,0.5,0.5102957487106323,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,1,1,0.607927282226642,0.4977000057697296,7.695428417769041,0,7.695428417769041,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,7.695428417769041,0.5,0.4977000057697296,1,0.7,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,1,15,2,1,0.6064283580550717,0.5001686811447144,7.449741112282311,0,7.449741112282311,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,base,7.449741112282311,0.5,0.5001686811447144,1,0.7,0.0,128,0,0
