attack,level,dt_level,mal_nodes,is_malicious,method,node_id,R2_m,R4_m,Rep_m,pi_m,KL_q_p_m,passed_gate_m,R2_s,R4_s,Rep_s,pi_s,KL_q_p_s,passed_gate_s,count
label_flip,L1,D0,3,0,weighted,3,0.7310585786300049,0.6950691970001472,52.95245308224346,52.95245308224346,0.3640274167060852,0.4,0.0,0.016520203909133342,17.57429791382183,17.57429791382183,0.023837317855756827,0.48989794855663565,5
label_flip,L1,D0,3,0,weighted,4,0.7310585786300049,0.695260152674576,52.06591574711392,52.06591574711392,0.36363967657089236,0.4,0.0,0.012851268606373223,14.161393183633477,14.161393183633477,0.01845690208503343,0.48989794855663565,5
label_flip,L1,D0,3,0,weighted,5,0.7310585786300049,0.6925918033372913,51.28330041681121,51.28330041681121,0.36770185828208923,0.2,0.0,0.01926542760030907,20.465945365697344,20.465945365697344,0.02784483487222884,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted,6,0.7310585786300049,0.693080598360319,50.3379488519404,50.3379488519404,0.3668346583843231,0.2,0.0,0.014773144960560166,16.479159663536326,16.479159663536326,0.021210341984853574,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted,7,0.7310585786300049,0.6889117479628293,45.60246429420806,45.60246429420806,0.37281986474990847,0.2,0.0,0.012966975206659029,12.072706186642321,12.072706186642321,0.01887209827312785,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted,8,0.7310585786300049,0.6931069441913422,51.65574279403033,51.65574279403033,0.36694817543029784,0.2,0.0,0.018985315640710237,19.56112800496411,19.56112800496411,0.02750550598655558,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted,9,0.7310585786300049,0.6949771007816634,52.71980845691779,52.71980845691779,0.3641436278820038,0.2,0.0,0.016058067012565274,17.48267510532589,17.48267510532589,0.023126481211495888,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted_r4only,3,0.5,0.6720527391546387,5.470607928460289,5.470607928460289,0.3977436423301697,0.0,0.0,0.017196816223658574,1.11587709428647,1.11587709428647,0.025459011673901473,0.0,5
label_flip,L1,D0,3,0,weighted_r4only,4,0.5,0.6711914049880688,5.42127108847225,5.42127108847225,0.39904130101203916,0.0,0.0,0.017569722897040452,1.1266713205531973,1.1266713205531973,0.026047854594743045,0.0,5
label_flip,L1,D0,3,0,weighted_r4only,5,0.5,0.6687561832829149,5.30515983729416,5.30515983729416,0.402785050868988,0.2,0.0,0.02013095340901527,1.277022292378888,1.277022292378888,0.02991499083709025,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted_r4only,6,0.5,0.6695102564003732,5.299683284859895,5.299683284859895,0.40148729681968687,0.0,0.0,0.015890963778600734,1.030372839007592,1.030372839007592,0.023534276455840816,0.0,5
label_flip,L1,D0,3,0,weighted_r4only,7,0.5,0.6680088445877835,5.208589683169158,5.208589683169158,0.40373666286468507,0.0,0.0,0.015950877153704236,0.997460686663033,0.997460686663033,0.023734571704245904,0.0,5
label_flip,L1,D0,3,0,weighted_r4only,8,0.5,0.671021449537782,5.4306127479138055,5.4306127479138055,0.39936168789863585,0.2,0.0,0.019227086713753994,1.2398831082949726,1.2398831082949726,0.028496326631340982,0.4000000000000001,5
label_flip,L1,D0,3,0,weighted_r4only,9,0.5,0.6716653944282396,5.44901282181214,5.44901282181214,0.39832876324653627,0.0,0.0,0.017412331693875762,1.1253965503516175,1.1253965503516175,0.025793414947359188,0.0,5
label_flip,L1,D0,3,1,weighted,0,0.7310585786300049,0.6036271133388688,7.705777421355215,7.705777421355215,0.5054283797740936,0.0,0.0,0.021254226068716717,3.050280808987287,3.050280808987287,0.03563052638733353,0.0,5
label_flip,L1,D0,3,1,weighted,1,0.7310585786300049,0.5786861608594361,6.011069546627319,6.011069546627319,0.5503961384296417,0.0,0.0,0.04668985967527107,4.334931210333279,4.334931210333279,0.08339952876726457,0.0,5
label_flip,L1,D0,3,1,weighted,2,0.7310585786300049,0.584170963410716,5.287935790371584,5.287935790371584,0.5385681450366974,0.0,0.0,0.026010495257976683,2.4495245273547828,2.4495245273547828,0.045037667889311156,0.0,5
label_flip,L1,D0,3,1,weighted_r4only,0,0.5,0.5733167108715528,1.7603214293479659,1.7603214293479659,0.5570634722709655,0.0,0.0,0.022074851911236516,0.43762978204595937,0.43762978204595937,0.03870647059633825,0.0,5
label_flip,L1,D0,3,1,weighted_r4only,1,0.5,0.54987582417574,1.4936834640325052,1.4936834640325052,0.6026644587516785,0.0,0.0,0.05097234085994395,0.665810104058753,0.665810104058753,0.09759737393766252,0.0,5
label_flip,L1,D0,3,1,weighted_r4only,2,0.5,0.5742005864466702,1.793027277016219,1.793027277016219,0.5556814193725585,0.0,0.0,0.024418015766897422,0.5134583898493795,0.5134583898493795,0.04255380673001692,0.0,5
