attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,polluted_acc_m,polluted_f1_m,clean_acc_m,clean_f1_m,w_mal_m,w_mal_round_mean_m,S_DT_m,S_DT_ratio_m,valid_ratio_m,num_masked_m,num_valid_m,fallback_rate_m,benign_pass_rate_m,malicious_pass_rate_m,benign_admitted_weight_mass_m,polluted_acc_s,polluted_f1_s,clean_acc_s,clean_f1_s,w_mal_s,w_mal_round_mean_s,S_DT_s,S_DT_ratio_s,valid_ratio_s,num_masked_s,num_valid_s,fallback_rate_s,benign_pass_rate_s,malicious_pass_rate_s,benign_admitted_weight_mass_s,count
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.7,0.0,512,0,0.8089955687522888,0.7772115315038073,0.8067935705184937,0.7721904460539752,0.08660544860676683,0.19647911340067317,341.7817626953125,0.6675425052642823,0.66953125,169.2,342.8,0.0,0.17333333333333334,0.0,0.8035208865993269,0.007256078632255133,0.01630522794818049,0.00847042381180102,0.019304529640904955,0.026741576156585567,0.030791883509221334,8.621080802735777,0.016838048442843315,0.016819570423133583,8.611620056644394,8.611620056644394,0.0,0.11805836597961951,0.0,0.030791883509221282,5
label_flip,label_flip,L1,D0,0,mean,0.7,0.0,512,0,0.8051736235618592,0.7654278417539853,0.8026502370834351,0.7602788133576462,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.003171466144437932,0.005112153166308012,0.005803292174977266,0.00873374800056852,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,median,0.7,0.0,512,0,0.8060125827789306,0.7673370939161375,0.8045912623405457,0.76357277408616,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0022909853461515815,0.003782340047739822,0.005406351752742234,0.007921090291659936,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,trimmed_mean,0.7,0.0,512,0,0.8061057925224304,0.7671526260808831,0.8041620016098022,0.7627413558384774,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0035096490752730123,0.00556573215434869,0.00578892185776833,0.008232791770208499,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,0,weighted,0.7,0.0,512,0,0.8051270127296448,0.7654659992029973,0.8029301881790161,0.7607611504327986,0.0,0.0,341.7817626953125,0.6675425052642823,0.66953125,169.2,342.8,0.0,0.10133333333333334,nan,1.0,0.00325396391653331,0.005257984478635974,0.005835006028413927,0.008894793800752502,0.0,0.0,8.621080802735777,0.016838048442843315,0.016819570423133583,8.611620056644394,8.611620056644394,0.0,0.10561144719100188,nan,0.0,5
label_flip,label_flip,L1,D0,3,mean,0.7,0.0,512,0,0.49815891981124877,0.36506134246085686,0.4929077923297882,0.3587207092034334,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.08248936803545273,0.07051911775707684,0.13699593803065777,0.08345881093220074,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,median,0.7,0.0,512,0,0.677184808254242,0.6370496612333179,0.8001492977142334,0.7621158338730398,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.003432664990365162,0.01157960133810791,0.005360286511188782,0.017521823420198576,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,trimmed_mean,0.7,0.0,512,0,0.6611978530883789,0.5922782465750382,0.773590874671936,0.7061057055144648,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.004442332283467727,0.01177194895779247,0.015432437389355173,0.02703333242054835,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
label_flip,label_flip,L1,D0,3,weighted,0.7,0.0,512,0,0.678489875793457,0.6305149523929285,0.8004292607307434,0.7555575457677917,0.05166707209170076,0.07588986077935474,332.89223022460936,0.6501801371574402,0.651953125,178.2,333.8,0.0,0.045714285714285714,0.0,0.9241101392206452,0.0028066442655059073,0.004275532144919162,0.0075190749347724415,0.011943051380158817,0.017254567572827135,0.012232721637330517,8.696150157052566,0.016984668275493293,0.01731134359856276,8.863407922464134,8.863407922464134,0.0,0.07008902663990133,0.0,0.01223272163733049,5
label_flip,label_flip,L1,D0,5,mean,0.7,0.0,512,0,0.4877184867858887,0.3268511109170568,0.4700447916984558,0.31317212382990506,0.5,0.5,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.05715308023791037,0.02547700593185814,0.146749950955132,0.06587902237425647,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,5
