attack_mode,attack,level,dt_level,mal_nodes,method,tau_gate,lambda_m,ref_size,audit_size,clean_f1_m,clean_f1_s,w_mal_m,w_mal_s,clean_acc_m,clean_acc_s,polluted_f1_m,polluted_f1_s,polluted_acc_m,polluted_acc_s,count
dt_logit_scale,dt_logit_scale,,D0,5,weighted,0.7,0.0,512,0,0.7773875733641932,0.022160198897591722,0.09343034376695017,0.03142635254132197,0.8069242596626282,0.008905141780829585,0.7832442008644475,0.01936694883051219,0.8100209832191467,0.00736278917107932,5
label_flip,label_flip,L1,D0,0,mean,0.7,0.0,512,0,0.7602788133576462,0.00873374800056852,0.0,0.0,0.8026502847671508,0.005803293555194728,0.7654278417539853,0.005112153166308012,0.8051736235618592,0.003171466144437932,5
label_flip,label_flip,L1,D0,0,median,0.7,0.0,512,0,0.76357277408616,0.007921090291659936,0.0,0.0,0.8045912981033325,0.005406355250733832,0.7673370939161375,0.003782340047739822,0.8060125827789306,0.0022909853461515815,5
label_flip,label_flip,L1,D0,0,trimmed_mean,0.7,0.0,512,0,0.7627413558384774,0.008232791770208499,0.0,0.0,0.8041620254516602,0.005788941689422875,0.7671526260808831,0.00556573215434869,0.8061057925224304,0.0035096490752730123,5
label_flip,label_flip,L1,D0,0,weighted,0.7,0.0,512,0,0.7606984994477675,0.008915294032485959,0.0,0.0,0.8029488921165466,0.005865736365728013,0.7653559977233826,0.005341078319906199,0.8050804018974305,0.0033435305869570883,5
label_flip,label_flip,L1,D0,3,mean,0.7,0.0,512,0,0.3554368460863439,0.08324418340615078,0.3,0.0,0.4955020725727081,0.13428941773801428,0.359657234652373,0.06765830430571312,0.4989979028701782,0.08118798439575016,5
label_flip,label_flip,L1,D0,3,median,0.7,0.0,512,0,0.7601399539644181,0.013021360012042064,0.3,0.0,0.7999626994132996,0.004671745307420685,0.6352798962029989,0.008857316374712411,0.6776508927345276,0.0022613855332177493,5
label_flip,label_flip,L1,D0,3,trimmed_mean,0.7,0.0,512,0,0.7047720695360519,0.03080521339164327,0.3,0.0,0.772732388973236,0.017535361593395207,0.5908478172852757,0.013561135047008512,0.6604521036148071,0.0048100052161950185,5
label_flip,label_flip,L1,D0,3,weighted,0.7,0.0,512,0,0.7540753472689173,0.013499602600885445,0.053919683557923204,0.013541962266062628,0.7993841290473938,0.008363622185300776,0.6291551197780512,0.004459313260767845,0.6776509046554565,0.002498713376104169,5
label_flip,label_flip,L1,D0,5,mean,0.7,0.0,512,0,0.3438659907097965,0.06932859049215627,0.5,0.0,0.4825868010520935,0.13841664127933667,0.3585114994650302,0.06023114964324533,0.49223957657814027,0.05487711867789753,5
label_flip,label_flip,L1,D0,5,median,0.7,0.0,512,0,0.3400671220916259,0.06587902237425647,0.5,0.0,0.5299552202224731,0.14674993635503542,0.33566467412175716,0.02593914239565246,0.5075273931026458,0.05797110565565455,5
label_flip,label_flip,L1,D0,5,trimmed_mean,0.7,0.0,512,0,0.36918440447707346,0.10422930086887261,0.5,0.0,0.5084360003471374,0.13502203493733167,0.36815436139814905,0.0782824995894223,0.5011419355869293,0.054657407736805975,5
label_flip,label_flip,L1,D0,5,weighted,0.7,0.0,512,0,0.7407302754444484,0.01746927542591081,0.13204493060426048,0.07283793240988605,0.786842143535614,0.02127590329722033,0.5635771304354769,0.00537576950828595,0.6100209712982178,0.010687231015159606,5
stealth_amp,stealth_amp,,D0,0,mean,0.7,0.0,512,0,0.7602788133576462,0.00873374800056852,0.0,0.0,0.8026502847671508,0.005803293555194728,0.7654278417539853,0.005112153166308012,0.8051736235618592,0.003171466144437932,5
stealth_amp,stealth_amp,,D0,0,median,0.7,0.0,512,0,0.76357277408616,0.007921090291659936,0.0,0.0,0.8045912981033325,0.005406355250733832,0.7673370939161375,0.003782340047739822,0.8060125827789306,0.0022909853461515815,5
stealth_amp,stealth_amp,,D0,0,trimmed_mean,0.7,0.0,512,0,0.7627413558384774,0.008232791770208499,0.0,0.0,0.8041620254516602,0.005788941689422875,0.7671526260808831,0.00556573215434869,0.8061057925224304,0.0035096490752730123,5
stealth_amp,stealth_amp,,D0,0,weighted,0.7,0.0,512,0,0.7606984994477675,0.008915294032485959,0.0,0.0,0.8029488921165466,0.005865736365728013,0.7653559977233826,0.005341078319906199,0.8050804018974305,0.0033435305869570883,5
stealth_amp,stealth_amp,,D0,3,mean,0.7,0.0,512,0,0.45124158402217407,0.025593783783905595,0.3,0.0,0.5268943846225739,0.07752337572899361,0.4526882871893192,0.022905471560962388,0.5307853698730469,0.07626045430319614,5
stealth_amp,stealth_amp,,D0,3,median,0.7,0.0,512,0,0.7616149061649167,0.008731599795823563,0.3,0.0,0.8031728506088257,0.005814397119570136,0.7665861618140672,0.005482155012290196,0.805546498298645,0.0031939951289351913,5
stealth_amp,stealth_amp,,D0,3,trimmed_mean,0.7,0.0,512,0,0.6708317922272041,0.04132265856892954,0.3,0.0,0.7415826916694641,0.012892458606665859,0.6771571591709369,0.041222028756817214,0.7440223932266236,0.016208069718341597,5
stealth_amp,stealth_amp,,D0,3,weighted,0.7,0.0,512,0,0.7628866171460825,0.0058927306200555665,6.975347645234122e-11,2.982775106436115e-11,0.8043859958648681,0.004753711124322951,0.7665593462738848,0.005643219348232016,0.8057329416275024,0.0045681746560178715,5
stealth_amp,stealth_amp,,D0,5,mean,0.7,0.0,512,0,0.5049125987676302,0.0693783359657294,0.5,0.0,0.5453900873661042,0.08346102361142017,0.5015073584537022,0.06888857925519674,0.5402004301548005,0.08104786946453121,5
stealth_amp,stealth_amp,,D0,5,median,0.7,0.0,512,0,0.702598539192777,0.050188983024912745,0.5,0.0,0.740630853176117,0.05024620832042701,0.7039740182846378,0.05515904597606555,0.7414122581481933,0.052061550462316725,5
stealth_amp,stealth_amp,,D0,5,trimmed_mean,0.7,0.0,512,0,0.5304443442163693,0.0517027247171312,0.5,0.0,0.5799738883972168,0.05178865338866173,0.5250630488984216,0.056071045200734346,0.5743183374404908,0.052627645208593206,5
stealth_amp,stealth_amp,,D0,5,weighted,0.7,0.0,512,0,0.762977169976037,0.004646383124298327,4.743595105463422e-10,1.7260952118038898e-10,0.8045539617538452,0.0037747871806415706,0.7672664376355844,0.004655196662769635,0.806199026107788,0.004136426365751373,5
