attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,tau_gate,lambda_m,ref_size,audit_size,S_DT,S_DT_ratio,num_masked,num_valid,valid_ratio,fallback_flag,fallback_method,skip_semantic,W_mal,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,exp_group,w_mal
label_flip,label_flip,L1,D0,0,weighted,0,1,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,2,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,3,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,4,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,5,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,6,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,7,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,8,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,9,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,10,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,11,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,12,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,1.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,13,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,1.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,14,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,1.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,0,15,0.7,0.0,512,0,337.07073974609375,0.6583412885665894,174,338,0.66015625,0,none,0,0.0,1.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,1,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,2,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,3,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,4,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,5,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,6,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,7,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,8,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,9,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,10,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,11,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,12,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,13,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,14,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,1,15,0.7,0.0,512,0,336.85968017578125,0.6579290628433228,174,338,0.66015625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,1,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,2,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,3,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,4,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,5,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,6,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,7,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,8,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,9,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,10,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,11,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,12,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,13,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,14,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,2,15,0.7,0.0,512,0,355.9449157714844,0.6952049136161804,155,357,0.697265625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,1,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,2,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,3,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,4,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,5,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,6,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,7,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
label_flip,label_flip,L1,D0,0,weighted,3,8,0.7,0.0,512,0,331.9556884765625,0.6483509540557861,179,333,0.650390625,0,none,0,0.0,0.0,nan,1.0,False,weighted,base,0.0
