attack_mode,attack,level,dt_level,mal_nodes,method,seed,tau_gate,lambda_m,ref_size,audit_size,skipped,skip_reason,polluted_acc,polluted_f1,clean_acc,clean_f1,w_mal,w_mal_round_mean,S_DT,S_DT_ratio,valid_ratio,fallback_rate,fallback_flag_first,fallback_flag_final,fallback_method,skip_semantic,num_masked,num_valid,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,mimic_loss,poison_loss,final_kl_to_teacher,exp_group
label_flip,label_flip,L1,D0,0,weighted_r2only,0,0.7,0.0,128,0,False,,0.8109997510910034,0.7746187057996119,0.8123366832733154,0.7725685845537483,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r2only,1,0.7,0.0,128,0,False,,0.8037753701210022,0.7605581737368641,0.7940462827682495,0.7454288445172127,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r2only,2,0.7,0.0,128,0,False,,0.8056396842002869,0.7662750235764675,0.8024449348449707,0.7624940100740489,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r2only,3,0.7,0.0,128,0,False,,0.8037753701210022,0.7648943989891814,0.801978349685669,0.7588916486716044,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r2only,4,0.7,0.0,128,0,False,,0.801677942276001,0.7607929066678019,0.8024449348449707,0.762010978971617,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r4only,0,0.7,0.0,128,0,False,,0.8107666969299316,0.7742903828289822,0.8120567202568054,0.7723369080887895,0.0,0.0,81.78755187988281,0.6389652490615845,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.18666666666666665,nan,1.0,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r4only,1,0.7,0.0,128,0,False,,0.8037753701210022,0.7605581737368641,0.7941396236419678,0.7455698394894094,0.0,0.0,93.74921417236328,0.7324157357215881,0.734375,0.0,0.0,0.0,none,0,34.0,94.0,0.0,nan,1.0,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r4only,2,0.7,0.0,128,0,False,,0.8061057925224304,0.7669426710007763,0.802818238735199,0.7631170057871344,0.0,0.0,81.73208618164062,0.6385319232940674,0.640625,0.0,0.0,0.0,none,0,46.0,82.0,0.16666666666666666,nan,1.0,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r4only,3,0.7,0.0,128,0,False,,0.8037753701210022,0.7648943989891814,0.8017917275428772,0.7587107507148325,0.0,0.0,88.71661376953125,0.6930985450744629,0.6953125,0.0,0.0,0.0,none,0,39.0,89.0,0.13333333333333333,nan,1.0,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,0,weighted_r4only,4,0.7,0.0,128,0,False,,0.8012118339538574,0.7601191597730274,0.8027248978614807,0.7623702528852274,0.0,0.0,84.79580688476562,0.6624672412872314,0.6640625,0.0,0.0,0.0,none,0,43.0,85.0,0.24000000000000002,nan,1.0,False,weighted,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,mean,0,0.7,0.0,128,0,False,,0.5968305468559265,0.39436761053776287,0.6578013896942139,0.42494757543062933,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,mean,1,0.7,0.0,128,0,False,,0.40969470143318176,0.29062654984274294,0.35022395849227905,0.2593821273064635,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,mean,2,0.7,0.0,128,0,False,,0.4845024347305298,0.47858824449662896,0.4565136134624481,0.45603459735854357,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,mean,3,0.7,0.0,128,0,False,,0.5900722146034241,0.37109775758440666,0.649776041507721,0.3938571186150674,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,mean,4,0.7,0.0,128,0,False,,0.40969470143318176,0.29062654984274294,0.35022395849227905,0.2593821273064635,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,,nan,nan,nan,base
label_flip,label_flip,L1,D0,3,median,0,0.7,0.0,128,0,False,,0.6721044182777405,0.6591028781498243,0.8066442608833313,0.7933289359768676,0.3,0.29999999999999993,nan,nan,nan,0.0,0.0,0.0,none,0,0.0,0.0,nan,nan,nan,False,,nan,nan,nan,base
