attack,dt_level,mal_nodes,method,seed,node_id,is_malicious,R4,Rep,pi_norm,passed_gate
label_flip,D0,5,weighted,0,0,1,0.6029295142669752,6.90617615582075,0.02494559602810945,0
label_flip,D0,5,weighted,0,1,1,0.601097698375085,6.63751051891504,0.0239751567729167,0
label_flip,D0,5,weighted,0,2,1,0.6084436912560567,7.781924861712501,0.028108862204125343,0
label_flip,D0,5,weighted,0,3,1,0.4956678557758286,0.6645060442955113,0.0024002427631767856,0
label_flip,D0,5,weighted,0,4,1,0.4256732017116425,0.1407403573726454,0.0005083641107113531,0
label_flip,D0,5,weighted,0,5,0,0.6938643396109211,48.98865694391391,0.17695048873790029,0
label_flip,D0,5,weighted,0,6,0,0.6985228293600739,54.13332426772973,0.19553339045707493,0
label_flip,D0,5,weighted,0,7,0,0.694581808636225,49.74806885238776,0.17969353818527903,0
label_flip,D0,5,weighted,0,8,0,0.6961052277466836,51.39962701673058,0.18565908291727923,0
label_flip,D0,5,weighted,0,9,0,0.6952343974693785,50.44897974271168,0.18222527782342687,0
label_flip,D0,5,weighted,1,0,1,0.5815846510526461,4.346952734617728,0.05014219669491605,0
label_flip,D0,5,weighted,1,1,1,0.5915279472559263,5.394033300668099,0.06222029436554527,0
label_flip,D0,5,weighted,1,2,1,0.5715432265443317,3.494639318510651,0.040310742440579604,0
label_flip,D0,5,weighted,1,3,1,0.5700518649153717,3.3830922864446267,0.039024044939121594,0
label_flip,D0,5,weighted,1,4,1,0.5857387819499078,4.757275295419775,0.05487527658056776,0
label_flip,D0,5,weighted,1,5,0,0.6272413968280002,11.683585743037323,0.13477042199328473,0
label_flip,D0,5,weighted,1,6,0,0.6335955729278704,13.401247969611276,0.1545836940664794,0
label_flip,D0,5,weighted,1,7,0,0.6323647734201766,13.04999031995891,0.15053192924759837,0
label_flip,D0,5,weighted,1,8,0,0.636202910245802,14.176721400932566,0.16352879738341553,0
label_flip,D0,5,weighted,1,9,0,0.632204640910326,13.004968563955982,0.15001260228849173,0
label_flip,D0,5,weighted,2,0,1,0.6421368762117509,16.11200313967997,0.04753703925852955,0
label_flip,D0,5,weighted,2,1,1,0.6225161348124691,10.549914614208811,0.031126589341003586,0
label_flip,D0,5,weighted,2,2,1,0.623936995948622,10.878787987695365,0.03209690112228753,0
label_flip,D0,5,weighted,2,3,1,0.6348382277513275,13.76542873468183,0.04061367916193557,0
label_flip,D0,5,weighted,2,4,1,0.5182026969846437,1.0902924196298274,0.0032168112869576907,0
label_flip,D0,5,weighted,2,5,0,0.7017240204564105,57.834545317120046,0.17063570726772775,1
label_flip,D0,5,weighted,2,6,0,0.7006360291393032,56.58966892086974,0.1669628096393238,1
label_flip,D0,5,weighted,2,7,0,0.6992834604005748,55.02297986012058,0.1623404322265907,0
label_flip,D0,5,weighted,2,8,0,0.7018027205089209,57.925648631735086,0.17090449953433126,1
label_flip,D0,5,weighted,2,9,0,0.7028624849913844,59.16650321562265,0.1745655311613125,1
label_flip,D0,5,weighted,3,0,1,0.5605911843573256,2.753412697487553,0.02534258552326871,0
label_flip,D0,5,weighted,3,1,1,0.4523335459484687,0.2549000638770599,0.002346116393879327,0
label_flip,D0,5,weighted,3,2,1,0.5574583683442218,2.571734861708716,0.023670411172104864,0
label_flip,D0,5,weighted,3,3,1,0.5560869478140202,2.495999230177913,0.022973335604399556,0
label_flip,D0,5,weighted,3,4,1,0.4584400429771995,0.2918999704774589,0.0026866658865976464,0
label_flip,D0,5,weighted,3,5,0,0.649577549114213,18.913930844264904,0.17408502199446987,0
label_flip,D0,5,weighted,3,6,0,0.6549759847787755,21.24547196996104,0.1955446747493543,0
label_flip,D0,5,weighted,3,7,0,0.6538624296442584,20.74221701724287,0.19091268416875357,0
label_flip,D0,5,weighted,3,8,0,0.6509024484030651,19.461424451349867,0.1791241879624536,0
label_flip,D0,5,weighted,3,9,0,0.6519761812139258,19.91667213047561,0.18331431654471853,0
label_flip,D0,5,weighted,4,0,1,0.6086982960571257,7.824925222443807,0.03441345501978491,0
label_flip,D0,5,weighted,4,1,1,0.4048556988237375,0.0882722229897119,0.0003882148504933766,0
label_flip,D0,5,weighted,4,2,1,0.5860255905777332,4.786985076623854,0.02105281404380343,0
label_flip,D0,5,weighted,4,3,1,0.6099567766630236,8.040965417674476,0.03536358416858645,0
label_flip,D0,5,weighted,4,4,1,0.4646643442785831,0.3350845848512272,0.00147367776186871,0
label_flip,D0,5,weighted,4,5,0,0.687511512307724,42.7485101100895,0.18800485474504483,0
label_flip,D0,5,weighted,4,6,0,0.6828027645967162,38.63995537983309,0.1699357282822815,0
label_flip,D0,5,weighted,4,7,0,0.6825899664414933,38.46386345574918,0.1691612887398527,0
label_flip,D0,5,weighted,4,8,0,0.6894391720477766,44.55335397586487,0.19594242749199534,0
label_flip,D0,5,weighted,4,9,0,0.6865747591959075,41.89790497426869,0.18426395489628877,0
