attack,dt_level,mal_nodes,is_malicious,R4_m,R4_s,Rep_m,Rep_s,pi_norm_m,pi_norm_s,passed_gate_m,passed_gate_s,count
dt_logit_scale,D0,5,0,0.7373048677610393,0.04860261446949634,212.56907193570692,293.9000176876287,0.1794736455543824,0.04239548028821194,0.8,0.4,25
dt_logit_scale,D0,5,1,0.6147651607350112,0.08132564793136124,36.024172358239106,80.80705148515075,0.020526354445617602,0.019086025874733917,0.12,0.32496153618543844,25
label_flip,D0,3,0,0.6932853634725955,0.01622849371083098,50.945376234752175,17.203893183728326,0.1356305827605317,0.013517578231672028,0.2571428571428571,0.4370588154508102,35
label_flip,D0,3,1,0.5888280792030068,0.034889299373813326,6.334927586118039,3.520242280628958,0.016861973558759406,0.006814199873024534,0.0,0.0,15
label_flip,D0,5,0,0.6734575752158363,0.02676995271614687,36.5263128430215,17.29784001332604,0.1739674937001892,0.015169605463657726,0.16,0.36660605559646714,25
label_flip,D0,5,1,0.557400006426161,0.067222313253711,5.013898284719397,4.326622399314768,0.026032506299810833,0.018041923939572668,0.0,0.0,25
stealth_amp,D0,5,0,0.7183794708160921,0.01605701138629928,84.84191393154799,27.72089197409443,0.1999999999300729,0.03355302155266935,0.92,0.2712931993250107,25
stealth_amp,D0,5,1,0.00044794562175452904,0.0005080780711577282,3.034858075432228e-08,3.476625381583089e-08,6.992709413477547e-11,7.801885185007317e-11,0.0,0.0,25
