attack,dt_level,mal_nodes,method,rep_config,clean_f1_m,clean_f1_s,polluted_f1_m,polluted_f1_s,delta_f1_m,delta_f1_s,w_mal_m,w_mal_s,count
dt_logit_scale,D0,5,weighted,"R2,R4",0.7711995244781871,0.026965966799009256,0.7763841914193913,0.022813067943965447,-0.00518466694120408,0.004911364333332189,0.10263177222808798,0.04891956420387156,5
dt_logit_scale,D0,5,weighted_r4only,R4,0.7179883019706764,0.020836230654479617,0.7197199425598286,0.02305542802402303,-0.00173164058915216,0.008350030419170647,0.13409230336670525,0.029753001969648363,5
label_flip,D0,3,weighted,"R2,R4",0.7561745343115949,0.012489982378239974,0.6308361890276319,0.004490646161545878,0.125338345283963,0.008511339707266826,0.050585920676278186,0.01155668211198426,5
label_flip,D0,3,weighted_r4only,R4,0.7362758451915334,0.020529007222686087,0.6163823591231713,0.008827728533695694,0.11989348606836212,0.012812879594614069,0.11648868924303706,0.016143665400990586,5
label_flip,D0,5,weighted,"R2,R4",0.7368821292860254,0.022454743972314478,0.5568461941765771,0.012898273621079889,0.18003593510944838,0.010071875062149318,0.1301625314990541,0.06465107648180081,5
label_flip,D0,5,weighted_r4only,R4,0.523743434634012,0.1653095096112592,0.4505011545314332,0.08076026822519858,0.07324228010257873,0.09072787030976884,0.22793188136882997,0.021340722817165852,5
stealth_amp,D0,5,weighted,"R2,R4",0.7637394221075601,0.004321473626446183,0.7691132464741921,0.005417302279695333,-0.00537382436663198,0.004810253035338809,3.4963547067387735e-10,8.762499585172511e-11,5
stealth_amp,D0,5,weighted_r4only,R4,0.7656402472917552,0.004681474563964942,0.7696253933119476,0.00571413238252177,-0.00398514602019222,0.00366129327746546,4.5833520184954347e-07,1.7631691572293112e-07,5
