attack_mode,attack,level,dt_level,mal_nodes,method,rep_config,tau_gate,lambda_m,ref_size,audit_size,polluted_acc_m,polluted_f1_m,clean_acc_m,clean_f1_m,delta_f1_m,w_mal_m,w_mal_round_mean_m,S_DT_m,S_DT_ratio_m,valid_ratio_m,num_masked_m,num_valid_m,fallback_rate_m,benign_pass_rate_m,malicious_pass_rate_m,benign_admitted_weight_mass_m,polluted_acc_s,polluted_f1_s,clean_acc_s,clean_f1_s,delta_f1_s,w_mal_s,w_mal_round_mean_s,S_DT_s,S_DT_ratio_s,valid_ratio_s,num_masked_s,num_valid_s,fallback_rate_s,benign_pass_rate_s,malicious_pass_rate_s,benign_admitted_weight_mass_s,count
label_flip,label_flip,L1,D0,3,weighted,"R2,R4",0.6,0.0,128,0,0.6786762952804566,0.6310444780141821,0.8005225896835327,0.7559446775453373,0.12490019953115532,0.05149575972829183,0.07614568933905555,85.79078369140625,0.6702404975891113,0.671875,42.0,86.0,0.0,0.44571428571428573,0.04444444444444444,0.9238543106609445,0.0025030343356087894,0.004263917064798279,0.008494459847276781,0.012854540373521588,0.008726488788331781,0.01780111601078059,0.013430600806530428,6.032175779168643,0.04712637327475502,0.047134697278119864,6.0332412515993425,6.0332412515993425,0.0,0.0781648934426026,0.03718489006818113,0.01343060080653049,5
label_flip,label_flip,L1,D0,3,weighted,"R2,R4",0.7,0.0,128,0,0.6784432530403137,0.6308361890276319,0.8006345748901367,0.7561745343115949,0.125338345283963,0.05058592067627823,0.07478623929625011,85.79078369140625,0.6702404975891113,0.671875,42.0,86.0,0.0,0.03428571428571428,0.0,0.9252137607037498,0.003297082836822939,0.004490646161545878,0.008316875942231659,0.012489982378239974,0.008511339707266833,0.011556682111984266,0.013207439267290788,6.032175779168643,0.04712637327475502,0.047134697278119864,6.0332412515993425,6.0332412515993425,0.0,0.05920102959207638,0.0,0.013207439267290748,5
