attack_mode,attack,level,dt_level,mal_nodes,method,seed,tau_gate,lambda_m,ref_size,audit_size,skipped,skip_reason,polluted_acc,polluted_f1,clean_acc,clean_f1,delta_f1,w_mal,w_mal_round_mean,S_DT,S_DT_ratio,valid_ratio,fallback_rate,fallback_flag_first,fallback_flag_final,fallback_method,skip_semantic,num_masked,num_valid,benign_pass_rate,malicious_pass_rate,benign_admitted_weight_mass,uses_dt,method_detail,rep_config,mimic_loss,poison_loss,final_kl_to_teacher,exp_group
label_flip,label_flip,L1,D0,3,weighted,0,0.6,0.0,128,0,False,,0.6828244924545288,0.6370408396957196,0.8127099871635437,0.7723729113221045,0.13533207162638494,0.0458104900045007,0.07503739306023606,91.7368392944336,0.7166940569877625,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.4095238095238095,0.0,0.9249626069397638,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,1,0.6,0.0,128,0,False,,0.6779305338859558,0.6249323252189726,0.7866741418838501,0.7342912602247406,0.10935893500576799,0.0720974990475742,0.09917287737607992,91.88980102539062,0.7178890705108643,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.39047619047619053,0.04444444444444444,0.90082712262392,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,2,0.6,0.0,128,0,False,,0.6758331656455994,0.6331280500149357,0.8024449348449707,0.7620991285191503,0.12897107850421463,0.026125803376274313,0.05949108616692365,75.86407470703125,0.5926880836486816,0.59375,0.0,0.0,0.0,none,0,52.0,76.0,0.6,0.1111111111111111,0.9405089138330764,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,3,0.6,0.0,128,0,False,,0.6767653226852417,0.6276822661691603,0.7974990606307983,0.7505237519391652,0.12284148577000487,0.04207033051429559,0.06722095787507576,82.65809631347656,0.6457663774490356,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.4285714285714286,0.02222222222222222,0.9327790421249242,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,4,0.6,0.0,128,0,False,,0.680027961730957,0.6324389089721225,0.8032848238945007,0.7604363357215267,0.12799742674940418,0.07137467569881438,0.07980613221696232,86.80510711669922,0.6781648993492126,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.4,0.04444444444444444,0.9201938677830377,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,0,0.7,0.0,128,0,False,,0.6835236549377441,0.6383193953689588,0.8126166462898254,0.7724114997630154,0.1340921043940566,0.041695463298330654,0.07398158287236635,91.7368392944336,0.7166940569877625,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.9260184171276336,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,1,0.7,0.0,128,0,False,,0.6779305338859558,0.625237806341874,0.7872340679168701,0.7354248623748534,0.1101870560329794,0.06461891432128966,0.09768235045479279,91.88980102539062,0.7178890705108643,0.71875,0.0,0.0,0.0,none,0,36.0,92.0,0.0,0.0,0.9023176495452073,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,2,0.7,0.0,128,0,False,,0.6737357378005981,0.6300191364735255,0.802538275718689,0.7617916968444074,0.13177256037088192,0.04602149026884913,0.058662255468962594,75.86407470703125,0.5926880836486816,0.59375,0.0,0.0,0.0,none,0,52.0,76.0,0.15238095238095237,0.0,0.9413377445310374,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,3,0.7,0.0,128,0,False,,0.6767653226852417,0.6278272674711792,0.7973124384880066,0.7504431200588044,0.1226158525876252,0.03668036606613713,0.06590696854569603,82.65809631347656,0.6457663774490356,0.6484375,0.0,0.0,0.0,none,0,45.0,83.0,0.009523809523809523,0.0,0.934093031454304,False,weighted,"R2,R4",nan,nan,nan,tau
label_flip,label_flip,L1,D0,3,weighted,4,0.7,0.0,128,0,False,,0.6802610158920288,0.6327773394826218,0.8034714460372925,0.7608014925168938,0.12802415303427195,0.06391336942678454,0.07769803913943278,86.80510711669922,0.6781648993492126,0.6796875,0.0,0.0,0.0,none,0,41.0,87.0,0.009523809523809523,0.0,0.922301960860567,False,weighted,"R2,R4",nan,nan,nan,tau
