attack_mode,attack,level,dt_level,mal_nodes,method,seed,round,node_id,is_malicious,R4,KL_q_p,Rep,passed_gate,pi,R2,R2_source,rep_config,method_detail,uses_dt,mimic_attack_enabled,mimic_loss,poison_loss,final_kl_to_teacher,exp_group,rep,R3,r4_kl,r4_gate_hit,tau_gate,lambda_m,ref_size,audit_size,audit_size_used
label_flip,label_flip,L1,D0,3,weighted,0,15,0,1,0.5658649836209818,0.5693997740745544,3.603232574699904,0,3.603232574699904,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,3.603232574699904,0.5,0.5693997740745544,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,1,1,0.5609036239538852,0.5782061815261841,3.234252320137406,0,3.234252320137406,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,3.234252320137406,0.5,0.5782061815261841,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,2,1,0.5607116541872842,0.5785484910011292,3.2207558704150006,0,3.2207558704150006,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,3.2207558704150006,0.5,0.5785484910011292,1,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,3,0,0.667644629208554,0.4039992392063141,29.25347710607416,1,29.25347710607416,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,29.25347710607416,0.5,0.4039992392063141,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,4,0,0.6765646223653256,0.39072731137275696,34.96677430945577,1,34.96677430945577,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,34.96677430945577,0.5,0.39072731137275696,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,5,0,0.6621720083877288,0.4122299253940582,26.220617417003865,1,26.220617417003865,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,26.220617417003865,0.5,0.4122299253940582,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,6,0,0.6742018203334572,0.3942257761955261,33.35281793293153,1,33.35281793293153,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,33.35281793293153,0.5,0.3942257761955261,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,7,0,0.6675912865161765,0.4040791392326355,29.22228456336995,1,29.22228456336995,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,29.22228456336995,0.5,0.4040791392326355,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,8,0,0.6610840454090604,0.4138742983341217,25.656238695640837,1,25.656238695640837,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,25.656238695640837,0.5,0.4138742983341217,0,0.6,0.0,128,0,0
label_flip,label_flip,L1,D0,3,weighted,0,15,9,0,0.6702715593864947,0.4000723361968994,30.831504654627853,1,30.831504654627853,0.7310585786300049,none,"R2,R4",weighted,False,0.0,nan,nan,nan,tau,30.831504654627853,0.5,0.4000723361968994,0,0.6,0.0,128,0,0
